model,transaction_cost,final_equity,sharpe,max_drawdown,trades
rf,0.00025,0.5502058316556431,-0.4601927673697381,-0.6203049199822104,229
xgb,0.00025,0.4454160524706176,-0.6596195454757547,-0.624936143033971,294
rf,0.0005,0.4907559542313385,-0.5668188747867966,-0.6433540203831862,229
xgb,0.0005,0.38456921272831274,-0.7967068688475992,-0.6615262375584701,294
rf,0.001,0.3903658470463042,-0.7793623290705423,-0.6853692669780137,229
xgb,0.001,0.2866130909899426,-1.069769117127952,-0.7246680536545698,294
