idx,date,signal,position,return,pnl,equity,action
0,2020-01-01,-1,-1,0.0081838863379848,-0.0081838863379848,0.9915661136620152,enter
1,2020-01-02,0,-1,-0.0045227893866035,0.0045227893866035,0.9960507583570015,hold
2,2020-01-03,-1,-1,-0.0191058530729412,0.0191058530729412,1.015081157799362,hold
3,2020-01-06,0,-1,0.0049945920012428,-0.0049945920012428,1.010011241568005,hold
4,2020-01-07,1,1,-0.0022899444111396,-0.0022899444111396,1.0071933663494042,flip
5,2020-01-08,-1,-1,0.0158457581226116,-0.0158457581226116,0.990730027200358,flip
6,2020-01-09,1,1,0.0033480474426501,0.0033480474426501,0.9935516733206827,flip
7,2020-01-10,1,1,0.0059354808073293,0.0059354808073293,0.9994488802087675,hold
8,2020-01-13,1,1,0.0026562202609821,0.0026562202609821,1.002103636574194,hold
9,2020-01-14,1,1,-0.0015369308543056,-0.0015369308543056,1.0005634725759311,hold
10,2020-01-15,0,1,0.0009884063018437,0.0009884063018437,1.0015524358176198,hold
11,2020-01-16,0,1,-0.0002549788049855,-0.0002549788049855,1.0012970611744048,hold
12,2020-01-17,-1,-1,-0.0103461939411514,0.0103461939411514,1.011156026231433,flip
13,2020-01-20,0,-1,-0.0044746183856623,0.0044746183856623,1.0156805635771813,hold
14,2020-01-21,1,1,-0.0051725551893021,-0.0051725551893021,1.0099190595255882,flip
15,2020-01-22,1,1,0.0060667236352978,0.0060667236352978,1.0160459593537499,hold
16,2020-01-23,1,1,0.0055745847042631,0.0055745847042631,1.0217099936175917,hold
17,2020-01-24,1,1,-0.0105525279121506,-0.0105525279121506,1.010928370391819,hold
18,2020-01-27,0,1,-0.0052149678449129,-0.0052149678449129,1.0056564114467155,hold
19,2020-01-28,-1,-1,0.0061132563999481,-0.0061132563999481,0.9990057477475667,flip
20,2020-01-29,1,1,-0.007724984155365,-0.007724984155365,0.9907889413012244,flip
21,2020-01-30,-1,-1,-0.0061234148547233,0.0061234148547233,0.9963605585516334,flip
22,2020-01-31,0,-1,-0.0212503847193161,0.0212503847193161,1.0175336037400085,hold
23,2020-02-03,0,-1,0.0232108226866707,-0.0232108226866707,0.9939158116858701,hold
24,2020-02-04,1,1,0.0091405004678344,0.0091405004678344,1.00250374172173,flip
25,2020-02-05,1,1,0.0040366612301674,0.0040366612301674,1.006550509709036,hold
26,2020-02-06,0,1,-0.0032625431230384,-0.0032625431230384,1.003266595265594,hold
27,2020-02-07,1,1,-0.0055255147630383,-0.0055255147630383,0.9977230308821907,hold
28,2020-02-10,1,1,0.0063500303889789,0.0063500303889789,1.0040586024480769,hold
29,2020-02-11,1,1,0.0077056964194832,0.0077056964194832,1.0117955732259123,hold
30,2020-02-12,0,1,-0.0021759994314084,-0.0021759994314084,1.009593906633871,hold
31,2020-02-13,1,1,-0.0050268544351488,-0.0050268544351488,1.0045188250266093,hold
32,2020-02-14,-1,-1,-0.0055847334602637,0.0055847334602637,1.0096265355076868,flip
33,2020-02-17,1,1,-0.0044247626186481,-0.0044247626186481,1.0046543644868233,flip
34,2020-02-18,1,1,0.011123651500938,0.011123651500938,1.0158297895162711,hold
35,2020-02-19,1,1,-0.0037152524595064,-0.0037152524595064,1.0120557253923308,hold
36,2020-02-20,1,1,-0.0208138687990014,-0.0208138687990014,0.9909909303067367,hold
37,2020-02-24,0,1,-0.0026628568617023,-0.0026628568617023,0.9883520633080847,hold
38,2020-02-25,0,1,-0.0101204779385897,-0.0101204779385897,0.9783494680558156,hold
39,2020-02-26,0,1,-0.0038703767874727,-0.0038703767874727,0.9745628869846161,hold
40,2020-02-27,1,1,-0.0370960786649383,-0.0370960786649383,0.9384104254651053,hold
41,2020-02-28,1,1,-0.0061597518244916,-0.0061597518244916,0.9326300501347248,hold
42,2020-03-02,1,1,0.0153196474085468,0.0153196474085468,0.9469176136654042,hold
43,2020-03-03,-1,-1,-0.0046269501465237,0.0046269501465237,0.9508254954498665,flip
44,2020-03-04,1,1,0.0015998577904186,0.0015998577904186,0.9518712682783658,flip
45,2020-03-05,-1,-1,-0.0248069753028219,0.0248069753028219,0.9750083796878739,flip
46,2020-03-06,1,1,-0.0489560433359516,-0.0489560433359516,0.9267883230091145,flip
47,2020-03-09,1,1,0.0006649981756232,0.0006649981756232,0.9274046355531045,hold
48,2020-03-11,1,1,-0.0830193880106471,-0.0830193880106471,0.8504120702712485,hold
49,2020-03-12,1,1,0.0380650761268936,0.0380650761268936,0.8827830704653529,hold
50,2020-03-13,1,1,-0.0761210010667908,-0.0761210010667908,0.8155847394167149,hold
51,2020-03-16,1,1,-0.0250451840905282,-0.0250451840905282,0.7951582694765978,hold
52,2020-03-17,1,1,-0.055564540272715,-0.055564540272715,0.7509756657890831,hold
53,2020-03-18,1,1,-0.0242477817531284,-0.0242477817531284,0.7327661717431192,hold
54,2020-03-19,1,1,0.0583291468584656,0.0583291468584656,0.7755077973876393,hold
55,2020-03-20,-1,-1,-0.1298046607047124,0.1298046607047124,0.8757845700027068,flip
56,2020-03-23,1,1,0.0250714240251634,0.0250714240251634,0.8973038440269389,flip
57,2020-03-24,1,1,0.0662474689466749,0.0662474689466749,0.9567479525698456,hold
58,2020-03-25,1,1,0.0389043564303894,0.0389043564303894,0.9939696159306682,hold
59,2020-03-26,1,1,0.0021755381634551,0.0021755381634551,0.9961320347634403,hold
60,2020-03-27,1,1,-0.0437805364308189,-0.0437805364308189,0.9525208399255737,hold
61,2020-03-30,-1,-1,0.0382377227133605,-0.0382377227133605,0.9156223517498396,flip
62,2020-03-31,-1,-1,-0.0400046750966822,0.0400046750966822,0.952251526442852,hold
63,2020-04-01,1,1,-0.0205965741867707,-0.0205965741867707,0.9321622814707848,flip
64,2020-04-03,1,1,0.0876321046711503,0.0876321046711503,1.013849624091131,hold
65,2020-04-07,1,1,-0.0049419024075071,-0.0049419024075071,1.008839278192985,hold
66,2020-04-08,-1,-1,0.0415088316188025,-0.0415088316188025,0.9664591188249416,flip
67,2020-04-09,-1,-1,-0.0129556707370791,0.0129556707370791,0.9789802449492851,hold
