date,close,return,equity
2020-01-01,12182.5,0.0,1.0
2020-01-02,12282.2001953125,0.008183886337984836,1.0081838863379848
2020-01-03,12226.650390625,-0.004522789386603554,1.0036240829571106
2020-01-06,11993.0498046875,-0.019105853072941215,0.9844489886876666
2020-01-07,12052.9501953125,0.004994592001242859,0.9893659097321976
2020-01-08,12025.349609375,-0.0022899444111396106,0.9871003167966343
2020-01-09,12215.900390625,0.015845758122611686,1.0027416696593472
2020-01-10,12256.7998046875,0.0033480474426501594,1.006098896342089
2020-01-13,12329.5498046875,0.0059354808073293075,1.0120705770316025
2020-01-14,12362.2998046875,0.0026562202609821117,1.0147588594038577
2020-01-15,12343.2998046875,-0.0015369308543056182,1.01319924520316
2020-01-16,12355.5,0.000988406301843714,1.014200697722142
2020-01-17,12352.349609375,-0.000254978804985595,1.0139420980402214
2020-01-20,12224.5498046875,-0.010346193941151438,1.0034516564487992
2020-01-21,12169.849609375,-0.004474618385662321,0.99896159321773
2020-01-22,12106.900390625,-0.005172555189302153,0.9937944092448181
2020-01-23,12180.349609375,0.0060667236352978104,0.9998234852760105
2020-01-24,12248.25,0.005574584704263197,1.0053970859839934
2020-01-27,12119.0,-0.010552527912150667,0.9947876051713523
2020-01-28,12055.7998046875,-0.005214967844912932,0.9895998197978658
2020-01-29,12129.5,0.006113256399948197,0.9956494972296327
2020-01-30,12035.7998046875,-0.0077249841553650445,0.9879581206392366
2020-01-31,11962.099609375,-0.006123414854723341,0.9819084432074697
2020-02-03,11707.900390625,-0.021250384719316173,0.9610425110301661
2020-02-04,11979.650390625,0.02321082268667074,0.9833490983480402
2020-02-05,12089.150390625,0.009140500467834434,0.992337401241535
2020-02-06,12137.9501953125,0.004036661230167438,0.9963431311563719
2020-02-07,12098.349609375,-0.0032625431230384194,0.9930925187256311
2020-02-10,12031.5,-0.005525514763038308,0.9876051713523497
2020-02-11,12107.900390625,0.006350030388978967,0.9938764942027499
2020-02-12,12201.2001953125,0.0077056964194832656,1.0015350047455367
2020-02-13,12174.650390625,-0.0021759994314084485,0.9993556651446748
2020-02-14,12113.4501953125,-0.005026854435148831,0.9943320496870511
2020-02-17,12045.7998046875,-0.00558473346026378,0.9887789702185512
2020-02-18,11992.5,-0.004424762618648104,0.9844038579930228
2020-02-19,12125.900390625,0.011123651500938081,0.995354023445516
2020-02-20,12080.849609375,-0.003715252459506435,0.9916560319618305
2020-02-24,11829.400390625,-0.02081386879900149,0.9710158334188386
2020-02-25,11797.900390625,-0.002662856861702312,0.9684301572439976
2020-02-26,11678.5,-0.010120477938589723,0.9586291812025448
2020-02-27,11633.2998046875,-0.003870376787472707,0.9549189250718245
2020-02-28,11201.75,-0.03709607866493836,0.9194951775087218
2020-03-02,11132.75,-0.006159751824491688,0.9138313154114511
2020-03-03,11303.2998046875,0.015319647408546855,0.9278308889544431
2020-03-04,11251.0,-0.004626950146523701,0.9235378616868462
2020-03-05,11269.0,0.0015998577904186018,0.9250153909296124
2020-03-06,10989.4501953125,-0.024806975302821943,0.9020685569720913
2020-03-09,10451.4501953125,-0.048956043335951605,0.8579068496049663
2020-03-11,10458.400390625,0.0006649981756232659,0.8584773560948084
2020-03-12,9590.150390625,-0.08301938801064712,0.787207091370819
2020-03-13,9955.2001953125,0.03806507612689369,0.8171721892314798
2020-03-16,9197.400390625,-0.07612100106679087,0.7549682241432385
2020-03-17,8967.0498046875,-0.02504518409052825,0.7360599059870719
2020-03-18,8468.7998046875,-0.05556454027271507,0.6951610756977225
2020-03-19,8263.4501953125,-0.024247781753128472,0.678304961650934
2020-03-20,8745.4501953125,0.058329146858465686,0.7178699113738973
2020-03-23,7610.25,-0.12980466070471242,0.6246870510978866
2020-03-24,7801.0498046875,0.02507142402516349,0.6403488450389907
2020-03-25,8317.849609375,0.06624746894667499,0.6827703352657505
2020-03-26,8641.4501953125,0.038904356430389475,0.7093330757490257
2020-03-27,8660.25,0.0021755381634551707,0.7108762569259187
2020-03-30,8281.099609375,-0.04378053643081892,0.6797537130617693
2020-03-31,8597.75,0.03823772271336057,0.7057459470552025
2020-04-01,8253.7998046875,-0.04000467509668226,0.6775128097424589
2020-04-03,8083.7998046875,-0.020596574186770744,0.6635583668941109
2020-04-07,8792.2001953125,0.08763210467115035,0.7217073831571932
2020-04-08,8748.75,-0.004941902407507137,0.718140775702853
2020-04-09,9111.900390625,0.04150883161880259,0.747949960240099
2020-04-13,8993.849609375,-0.01295567073707915,0.7382597668274168
2020-04-15,8925.2998046875,-0.007621853562688519,0.7326328589934337
2020-04-16,8992.7998046875,0.007562771164790316,0.7381735936538071
2020-04-17,9266.75,0.03046328187687486,0.7606607839113487
2020-04-20,9261.849609375,-0.0005288143766692954,0.7602585355530479
2020-04-21,8981.4501953125,-0.030274667144095657,0.7372419614457217
2020-04-22,9187.2998046875,0.02291941778872575,0.7541391179714759
2020-04-23,9313.900390625,0.01377995587701486,0.7645311217422538
