date,signal,position,market_return,pnl,equity,action
2020-01-01,0,0,0.0081838863379848,0.0,1.0,hold
2020-01-02,0,0,-0.0045227893866035,-0.0,1.0,hold
2020-01-03,0,0,-0.0191058530729412,-0.0,1.0,hold
2020-01-06,0,0,0.0049945920012428,0.0,1.0,hold
2020-01-07,1,1,-0.0022899444111396,-0.0022899444111396,0.9972100555888604,enter
2020-01-08,-1,-1,0.0158457581226116,-0.0158457581226116,0.9804112961949745,flip
2020-01-09,1,1,0.0033480474426501,0.0033480474426501,0.9827133484317505,flip
2020-01-10,0,1,0.0059354808073293,0.0059354808073293,0.9885462246504735,hold
2020-01-13,1,1,0.0026562202609821,0.0026562202609821,0.9911720211613074,hold
2020-01-14,1,1,-0.0015369308543056,-0.0015369308543056,0.9896486583000601,hold
2020-01-15,0,1,0.0009884063018437,0.0009884063018437,0.990626833270535,hold
2020-01-16,0,1,-0.0002549788049855,-0.0002549788049855,0.9903742444244011,hold
2020-01-17,0,1,-0.0103461939411514,-0.0103461939411514,0.980127640417265,hold
2020-01-20,0,1,-0.0044746183856623,-0.0044746183856623,0.975741943257158,hold
2020-01-21,1,1,-0.0051725551893021,-0.0051725551893021,0.9706948642051434,hold
2020-01-22,1,1,0.0060667236352978,0.0060667236352978,0.976583801680479,hold
2020-01-23,1,1,0.0055745847042631,0.0055745847042631,0.9820278508037582,hold
2020-01-24,1,1,-0.0105525279121506,-0.0105525279121506,0.9716649744976423,hold
2020-01-27,0,1,-0.0052149678449129,-0.0052149678449129,0.966597772899609,hold
2020-01-28,0,1,0.0061132563999481,0.0061132563999481,0.9725068329209632,hold
2020-01-29,1,1,-0.007724984155365,-0.007724984155365,0.9649942330456645,hold
2020-01-30,0,1,-0.0061234148547233,-0.0061234148547233,0.9590851730243103,hold
2020-01-31,0,1,-0.0212503847193161,-0.0212503847193161,0.9387042441189519,hold
2020-02-03,0,1,0.0232108226866707,0.0232108226866707,0.9604923418844222,hold
2020-02-04,1,1,0.0091405004678344,0.0091405004678344,0.9692717225847682,hold
2020-02-05,1,1,0.0040366612301674,0.0040366612301674,0.9731843441688238,hold
2020-02-06,0,1,-0.0032625431230384,-0.0032625431230384,0.9700092882793072,hold
2020-02-07,1,1,-0.0055255147630383,-0.0055255147630383,0.9646494876366356,hold
2020-02-10,1,1,0.0063500303889789,0.0063500303889789,0.9707750411978412,hold
2020-02-11,1,1,0.0077056964194832,0.0077056964194832,0.9782555389569231,hold
2020-02-12,0,1,-0.0021759994314084,-0.0021759994314084,0.9761268554603807,hold
2020-02-13,1,1,-0.0050268544351488,-0.0050268544351488,0.9712200078477418,hold
2020-02-14,0,1,-0.0055847334602637,-0.0055847334602637,0.9657960029726369,hold
2020-02-17,0,1,-0.0044247626186481,-0.0044247626186481,0.9615225849214438,hold
2020-02-18,1,1,0.011123651500938,0.011123651500938,0.9722182270663912,hold
2020-02-19,1,1,-0.0037152524595064,-0.0037152524595064,0.9686061909071058,hold
2020-02-20,1,1,-0.0208138687990014,-0.0208138687990014,0.9484457487316648,hold
2020-02-24,0,1,-0.0026628568617023,-0.0026628568617023,0.9459201734617022,hold
2020-02-25,0,1,-0.0101204779385897,-0.0101204779385897,0.9363470092145161,hold
2020-02-26,0,1,-0.0038703767874727,-0.0038703767874727,0.9327229934850327,hold
2020-02-27,1,1,-0.0370960786649383,-0.0370960786649383,0.8981226279461152,hold
2020-02-28,0,1,-0.0061597518244916,-0.0061597518244916,0.892590415450007,hold
2020-03-02,1,1,0.0153196474085468,0.0153196474085468,0.9062645858949494,hold
2020-03-03,-1,-1,-0.0046269501465237,0.0046269501465237,0.9095515623675504,flip
2020-03-04,1,1,0.0015998577904186,0.0015998577904186,0.9100971639580241,flip
2020-03-05,-1,-1,-0.0248069753028219,0.0248069753028219,0.9317638246635411,flip
