idx,date,signal,position,return,pnl,equity,action
0,2020-01-01,-1,-1,0.0081838863379848,-0.0081838863379848,0.9913161136620152,enter
1,2020-01-02,0,-1,-0.0045227893866035,0.0045227893866035,0.9957996276596549,hold
2,2020-01-03,-1,-1,-0.0191058530729412,0.0191058530729412,1.0148252290358097,hold
3,2020-01-06,0,-1,0.0049945920012428,-0.0049945920012428,1.0097565910642081,hold
4,2020-01-07,0,-1,-0.0022899444111396,0.0022899444111396,1.012068877526527,hold
5,2020-01-08,-1,-1,0.0158457581226116,-0.0158457581226116,0.9960318788898186,hold
6,2020-01-09,1,1,0.0033480474426501,0.0033480474426501,0.998370608995844,flip
7,2020-01-10,1,1,0.0059354808073293,0.0059354808073293,1.0042964185841405,hold
8,2020-01-13,1,1,0.0026562202609821,0.0026562202609821,1.0069640510792155,hold
9,2020-01-14,0,1,-0.0015369308543056,-0.0015369308543056,1.0054164169599353,hold
10,2020-01-15,0,1,0.0009884063018437,0.0009884063018437,1.0064101768824356,hold
11,2020-01-16,-1,-1,-0.0002549788049855,0.0002549788049855,1.0056603799697799,flip
12,2020-01-17,-1,-1,-0.0103461939411514,0.0103461939411514,1.0160651372998792,hold
13,2020-01-20,0,-1,-0.0044746183856623,0.0044746183856623,1.0206116410442718,hold
14,2020-01-21,0,-1,-0.0051725551893021,0.0051725551893021,1.0258908110844174,hold
15,2020-01-22,0,-1,0.0060667236352978,-0.0060667236352978,1.0196670150535767,hold
16,2020-01-23,1,1,0.0055745847042631,0.0055745847042631,1.0243315681840826,flip
17,2020-01-24,0,1,-0.0105525279121506,-0.0105525279121506,1.013522280719523,hold
18,2020-01-27,0,1,-0.0052149678449129,-0.0052149678449129,1.0082367946154678,hold
19,2020-01-28,0,1,0.0061132563999481,0.0061132563999481,1.0144004046528141,hold
20,2020-01-29,1,1,-0.007724984155365,-0.007724984155365,1.0065641775996752,hold
21,2020-01-30,0,1,-0.0061234148547233,-0.0061234148547233,1.0004005675623289,hold
22,2020-01-31,1,1,-0.0212503847193161,-0.0212503847193161,0.9791416706282072,hold
23,2020-02-03,0,1,0.0232108226866707,0.0232108226866707,1.001868354330289,hold
24,2020-02-04,1,1,0.0091405004678344,0.0091405004678344,1.0110259324917537,hold
25,2020-02-05,1,1,0.0040366612301674,0.0040366612301674,1.015107101676137,hold
26,2020-02-06,1,1,-0.0032625431230384,-0.0032625431230384,1.011795270982416,hold
27,2020-02-07,-1,-1,-0.0055255147630383,0.0055255147630383,1.0163741654184193,flip
28,2020-02-10,1,1,0.0063500303889789,0.0063500303889789,1.021811798089981,flip
29,2020-02-11,1,1,0.0077056964194832,0.0077056964194832,1.0296855696039087,hold
30,2020-02-12,0,1,-0.0021759994314084,-0.0021759994314084,1.027444974389921,hold
31,2020-02-13,-1,-1,-0.0050268544351488,0.0050268544351488,1.0315823457419144,flip
32,2020-02-14,0,-1,-0.0055847334602637,0.0055847334602637,1.0373434581851966,hold
33,2020-02-17,-1,-1,-0.0044247626186481,0.0044247626186481,1.0419334567416734,hold
34,2020-02-18,1,1,0.011123651500938,0.011123651500938,1.0524816279448939,flip
35,2020-02-19,0,1,-0.0037152524595064,-0.0037152524595064,1.0485713929880862,hold
36,2020-02-20,-1,-1,-0.0208138687990014,0.0208138687990014,1.0693476489951383,flip
37,2020-02-24,0,-1,-0.0026628568617023,0.0026628568617023,1.0721951687198101,hold
38,2020-02-25,0,-1,-0.0101204779385897,0.0101204779385897,1.0830462962707015,hold
39,2020-02-26,0,-1,-0.0038703767874727,0.0038703767874727,1.0872380935155457,hold
40,2020-02-27,1,1,-0.0370960786649383,-0.0370960786649383,1.0458185855774598,flip
41,2020-02-28,-1,-1,-0.0061597518244916,0.0061597518244916,1.0512147499324804,flip
42,2020-03-02,1,1,0.0153196474085468,0.0153196474085468,1.0662677745021774,flip
43,2020-03-03,-1,-1,-0.0046269501465237,0.0046269501465237,1.0701350745631417,flip
44,2020-03-04,1,1,0.0015998577904186,0.0015998577904186,1.0707770034244188,flip
45,2020-03-05,-1,-1,-0.0248069753028219,0.0248069753028219,1.0962689650997737,flip
46,2020-03-06,1,1,-0.0489560433359516,-0.0489560433359516,1.0415037051713905,flip
47,2020-03-09,1,1,0.0006649981756232,0.0006649981756232,1.0421963032352344,hold
48,2020-03-11,1,1,-0.0830193880106471,-0.0830193880106471,0.9556738039536864,hold
49,2020-03-12,1,1,0.0380650761268936,0.0380650761268936,0.9920516000536616,hold
50,2020-03-13,1,1,-0.0761210010667908,-0.0761210010667908,0.9165356391476653,hold
51,2020-03-16,1,1,-0.0250451840905282,-0.0250451840905282,0.8935808353396821,hold
52,2020-03-17,1,1,-0.055564540272715,-0.055564540272715,0.843929427027524,hold
53,2020-03-18,1,1,-0.0242477817531284,-0.0242477817531284,0.8234660104659179,hold
54,2020-03-19,1,1,0.0583291468584656,0.0583291468584656,0.8714980803233393,hold
55,2020-03-20,1,1,-0.1298046607047124,-0.1298046607047124,0.75837356770216,hold
56,2020-03-23,1,1,0.0250714240251634,0.0250714240251634,0.7773870729874969,hold
57,2020-03-24,1,1,0.0662474689466749,0.0662474689466749,0.8288869989647827,hold
58,2020-03-25,1,1,0.0389043564303894,0.0389043564303894,0.8611343142130244,hold
59,2020-03-26,1,1,0.0021755381634551,0.0021755381634551,0.8630077447774557,hold
60,2020-03-27,1,1,-0.0437805364308189,-0.0437805364308189,0.8252248027671474,hold
61,2020-03-30,1,1,0.0382377227133605,0.0382377227133605,0.8567795199515452,hold
62,2020-03-31,1,1,-0.0400046750966822,-0.0400046750966822,0.8225043336263923,hold
63,2020-04-01,1,1,-0.0205965741867707,-0.0205965741867707,0.8055635620999159,hold
64,2020-04-03,1,1,0.0876321046711503,0.0876321046711503,0.8761567924931204,hold
65,2020-04-07,1,1,-0.0049419024075071,-0.0049419024075071,0.8718269111309449,hold
66,2020-04-08,1,1,0.0415088316188025,0.0415088316188025,0.9080154275858201,hold
67,2020-04-09,1,1,-0.0129556707370791,-0.0129556707370791,0.8962514786818301,hold
68,2020-04-13,1,1,-0.0076218535626885,-0.0076218535626885,0.8894203811559741,hold
69,2020-04-15,-1,-1,0.0075627711647903,-0.0075627711647903,0.8818044779628349,flip
70,2020-04-16,-1,-1,0.0304632818768748,-0.0304632818768748,0.8549418195903626,hold
71,2020-04-17,0,-1,-0.0005288143766692,0.0005288143766692,0.8553939251157778,hold
72,2020-04-20,-1,-1,-0.0302746671440956,0.0302746671440956,0.8812906914757395,hold
73,2020-04-21,-1,-1,0.0229194177887257,-0.0229194177887257,0.861092021924492,hold
74,2020-04-22,-1,-1,0.0137799558770148,-0.0137799558770148,0.8492262118563231,hold
75,2020-04-23,-1,-1,-0.0171249415723349,0.0171249415723349,0.863769161116058,hold
76,2020-04-24,-1,-1,0.0139713589754586,-0.0139713589754586,0.8517011320941748,hold
77,2020-04-27,1,1,0.0106224306488902,0.0106224306488902,0.8598965671713323,flip
78,2020-04-28,-1,-1,0.0183830135241964,-0.0183830135241964,0.8432291803804404,flip
79,2020-04-29,-1,-1,0.032088303452139,-0.032088303452139,0.8161713865606943,hold
80,2020-04-30,-1,-1,-0.057444839013135,0.057444839013135,0.8630562204688006,hold
81,2020-05-04,-1,-1,-0.0094582655216011,0.0094582655216011,0.871219235362064,hold
82,2020-05-05,-1,-1,0.0070935934671216,-0.0070935934671216,0.8650391602856691,hold
83,2020-05-06,-1,-1,-0.0077501195040513,0.0077501195040513,0.8717433171535671,hold
84,2020-05-07,1,1,0.0057016970693835,0.0057016970693835,0.8758419901530828,flip
85,2020-05-08,1,1,-0.0013294930214019,-0.0013294930214019,0.8746775643393235,hold
86,2020-05-11,1,1,-0.0046162427183511,-0.0046162427183511,0.870639840402037,hold
87,2020-05-12,1,1,0.0203337125303977,0.0203337125303977,0.8883431806342834,hold
88,2020-05-13,1,1,-0.0256619093732747,-0.0256619093732747,0.8655465984404798,hold
89,2020-05-14,1,1,-0.0006453627874545,-0.0006453627874545,0.8649880068750384,hold
90,2020-05-15,1,1,-0.0343225097032598,-0.0343225097032598,0.8352994476158666,hold
91,2020-05-18,1,1,0.0063298228402233,0.0063298228402233,0.8405867451378114,hold
92,2020-05-19,1,1,0.021111396826158,0.021111396826158,0.8583327054812243,hold
