date,signal,position,market_return,pnl,equity,action
2020-01-01,-1,-1,0.0081838863379848,-0.0081838863379848,0.9913161136620152,enter
2020-01-02,0,-1,-0.0045227893866035,0.0045227893866035,0.9957996276596549,hold
2020-01-03,-1,-1,-0.0191058530729412,0.0191058530729412,1.0148252290358097,hold
2020-01-06,0,-1,0.0049945920012428,-0.0049945920012428,1.0097565910642081,hold
2020-01-07,1,1,-0.0022899444111396,-0.0022899444111396,1.006434548010825,flip
2020-01-08,-1,-1,0.0158457581226116,-0.0158457581226116,0.9894803950487947,flip
2020-01-09,1,1,0.0033480474426501,0.0033480474426501,0.9918037419599416,flip
2020-01-10,0,1,0.0059354808073293,0.0059354808073293,0.9976905740349822,hold
2020-01-13,1,1,0.0026562202609821,0.0026562202609821,1.0003406599519247,hold
2020-01-14,0,1,-0.0015369308543056,-0.0015369308543056,0.9988032055268281,hold
2020-01-15,0,1,0.0009884063018437,0.0009884063018437,0.9997904289094726,hold
2020-01-16,0,1,-0.0002549788049855,-0.0002549788049855,0.9995355035406733,hold
2020-01-17,-1,-1,-0.0103461939411514,0.0103461939411514,1.008877356207831,flip
2020-01-20,0,-1,-0.0044746183856623,0.0044746183856623,1.013391697374797,hold
2020-01-21,1,1,-0.0051725551893021,-0.0051725551893021,1.0071364811943704,flip
2020-01-22,1,1,0.0060667236352978,0.0060667236352978,1.0132464998888029,hold
2020-01-23,1,1,0.0055745847042631,0.0055745847042631,1.0188949283287312,hold
2020-01-24,1,1,-0.0105525279121506,-0.0105525279121506,1.0081430111579937,hold
2020-01-27,0,1,-0.0052149678449129,-0.0052149678449129,1.002885577771731,hold
2020-01-28,0,1,0.0061132563999481,0.0061132563999481,1.0090164744484598,hold
2020-01-29,1,1,-0.007724984155365,-0.007724984155365,1.001221838170843,hold
2020-01-30,-1,-1,-0.0061234148547233,0.0061234148547233,1.0063515130094012,flip
2020-01-31,0,-1,-0.0212503847193161,0.0212503847193161,1.0277368698237168,hold
2020-02-03,0,-1,0.0232108226866707,-0.0232108226866707,1.0038822515696846,hold
2020-02-04,0,-1,0.0091405004678344,-0.0091405004678344,0.9947062653795612,hold
2020-02-05,1,1,0.0040366612301674,0.0040366612301674,0.9977268513310441,flip
2020-02-06,0,1,-0.0032625431230384,-0.0032625431230384,0.9944717244535632,hold
2020-02-07,0,1,-0.0055255147630383,-0.0055255147630383,0.9889767562586709,hold
2020-02-10,1,1,0.0063500303889789,0.0063500303889789,0.9952567887149073,hold
2020-02-11,0,1,0.0077056964194832,0.0077056964194832,1.002925935388174,hold
2020-02-12,0,1,-0.0021759994314084,-0.0021759994314084,1.0007435691230246,hold
2020-02-13,1,1,-0.0050268544351488,-0.0050268544351488,0.9957129768741318,hold
2020-02-14,-1,-1,-0.0055847334602637,0.0055847334602637,1.0002780554760256,flip
2020-02-17,1,1,-0.0044247626186481,-0.0044247626186481,0.9948517844724252,flip
2020-02-18,1,1,0.011123651500938,0.011123651500938,1.0059181690179828,hold
2020-02-19,1,1,-0.0037152524595064,-0.0037152524595064,1.0021809290664765,hold
2020-02-20,1,1,-0.0208138687990014,-0.0208138687990014,0.9813216666960255,hold
2020-02-24,0,1,-0.0026628568617023,-0.0026628568617023,0.9787085475623268,hold
2020-02-25,0,1,-0.0101204779385897,-0.0101204779385897,0.9688035492984132,hold
2020-02-26,0,1,-0.0038703767874727,-0.0038703767874727,0.9650539145295874,hold
2020-02-27,1,1,-0.0370960786649383,-0.0370960786649383,0.9292541986002911,hold
2020-02-28,1,1,-0.0061597518244916,-0.0061597518244916,0.9235302233550465,hold
2020-03-02,1,1,0.0153196474085468,0.0153196474085468,0.9376783807479824,hold
2020-03-03,-1,-1,-0.0046269501465237,0.0046269501465237,0.9410792934884284,flip
2020-03-04,1,1,0.0015998577904186,0.0015998577904186,0.9416438072340292,flip
2020-03-05,-1,-1,-0.0248069753028219,0.0248069753028219,0.964061498096905,flip
2020-03-06,1,1,-0.0489560433359516,-0.0489560433359516,0.9159008001194536,flip
2020-03-09,1,1,0.0006649981756232,0.0006649981756232,0.9165098724805849,hold
2020-03-11,1,1,-0.0830193880106471,-0.0830193880106471,0.8404217837615305,hold
2020-03-12,1,1,0.0380650761268936,0.0380650761268936,0.872412502939113,hold
2020-03-13,1,1,-0.0761210010667908,-0.0761210010667908,0.8060035898722032,hold
2020-03-16,1,1,-0.0250451840905282,-0.0250451840905282,0.7858170815862272,hold
2020-03-17,1,1,-0.055564540272715,-0.055564540272715,0.742153516709442,hold
2020-03-18,1,1,-0.0242477817531284,-0.0242477817531284,0.7241579402089547,hold
2020-03-19,1,1,0.0583291468584656,0.0583291468584656,0.7663974550521269,hold
2020-03-20,-1,-1,-0.1298046607047124,0.1298046607047124,0.8651130192150711,flip
2020-03-23,1,1,0.0250714240251634,0.0250714240251634,0.8859375215302866,flip
2020-03-24,1,1,0.0662474689466749,0.0662474689466749,0.9446286399765584,hold
2020-03-25,1,1,0.0389043564303894,0.0389043564303894,0.9813788092805605,hold
2020-03-26,1,1,0.0021755381634551,0.0021755381634551,0.9835138363329566,hold
2020-03-27,1,1,-0.0437805364308189,-0.0437805364308189,0.9404550729911672,hold
2020-03-30,-1,-1,0.0382377227133605,-0.0382377227133605,0.9035537576127666,flip
2020-03-31,-1,-1,-0.0400046750966822,0.0400046750966822,0.9397001321184517,hold
2020-04-01,1,1,-0.0205965741867707,-0.0205965741867707,0.9194058285018373,flip
2020-04-03,1,1,0.0876321046711503,0.0876321046711503,0.999975296300376,hold
2020-04-07,1,1,-0.0049419024075071,-0.0049419024075071,0.9950335159761414,hold
2020-04-08,-1,-1,0.0415088316188025,-0.0415088316188025,0.9527358037904466,flip
2020-04-09,-1,-1,-0.0129556707370791,0.0129556707370791,0.965079135163782,hold
2020-04-13,0,-1,-0.0076218535626885,0.0076218535626885,0.9724348270084063,hold
2020-04-15,-1,-1,0.0075627711647903,-0.0075627711647903,0.9650805249390693,hold
2020-04-16,-1,-1,0.0304632818768748,-0.0304632818768748,0.9356810048739681,hold
2020-04-17,-1,-1,-0.0005288143766692,0.0005288143766692,0.9361758064413218,hold
2020-04-20,-1,-1,-0.0302746671440956,0.0302746671440956,0.9645182173696881,hold
2020-04-21,-1,-1,0.0229194177887257,-0.0229194177887257,0.9424120213809553,hold
2020-04-22,-1,-1,0.0137799558770148,-0.0137799558770148,0.9294256253083574,hold
2020-04-23,-1,-1,-0.0171249415723349,0.0171249415723349,0.9453419848375938,hold
2020-04-24,-1,-1,0.0139713589754586,-0.0139713589754586,0.9321342726128552,hold
2020-04-27,-1,-1,0.0106224306488902,-0.0106224306488902,0.9222327409465714,hold
2020-04-28,-1,-1,0.0183830135241964,-0.0183830135241964,0.9052793239972938,hold
2020-04-29,0,-1,0.032088303452139,-0.032088303452139,0.8762304463399214,hold
2020-04-30,-1,-1,-0.057444839013135,0.057444839013135,0.9265653632683256,hold
2020-05-04,-1,-1,-0.0094582655216011,0.0094582655216011,0.9353290644972362,hold
2020-05-05,0,-1,0.0070935934671216,-0.0070935934671216,0.9286942203557097,hold
2020-05-06,-1,-1,-0.0077501195040513,0.0077501195040513,0.9358917115461881,hold
2020-05-07,1,1,0.0057016970693835,0.0057016970693835,0.9402919908636252,flip
2020-05-08,1,1,-0.0013294930214019,-0.0013294930214019,0.9390418792236919,hold
2020-05-11,1,1,-0.0046162427183511,-0.0046162427183511,0.9347070339864987,hold
2020-05-12,1,1,0.0203337125303977,0.0203337125303977,0.9537130981157208,hold
2020-05-13,1,1,-0.0256619093732747,-0.0256619093732747,0.9292389990237702,hold
2020-05-14,1,1,-0.0006453627874545,-0.0006453627874545,0.9286393027531488,hold
2020-05-15,1,1,-0.0343225097032598,-0.0343225097032598,0.8967660712735754,hold
2020-05-18,1,1,0.0063298228402233,0.0063298228402233,0.9024424416338602,hold
2020-05-19,1,1,0.021111396826158,0.021111396826158,0.9214942621319596,hold
2020-05-20,1,1,0.0043787544510012,0.0043787544510012,0.925529259233842,hold
2020-05-21,1,1,-0.0073575840768702,-0.0073575840768702,0.9187195998934257,hold
2020-05-22,1,1,-0.0011284338094974,-0.0011284338094974,0.917682885635458,hold
2020-05-26,-1,-1,0.0316645047717616,-0.0316645047717616,0.8877072286386546,flip
2020-05-27,0,-1,0.0188030435364687,-0.0188030435364687,0.871015630970924,hold
2020-05-28,0,-1,0.0095046626511057,-0.0095046626511057,0.8627369212347055,hold
2020-05-29,0,-1,0.0256620973194605,-0.0256620973194605,0.8405972824008888,hold
2020-06-01,0,-1,0.0155655279707429,-0.0155655279707429,0.8275129418895473,hold
2020-06-02,-1,-1,0.0082622880359908,-0.0082622880359908,0.8206757916101457,hold
2020-06-03,-1,-1,-0.0032251686810099,0.0032251686810099,0.8233226094705097,hold
2020-06-04,-1,-1,0.0112722762414605,-0.0112722762414605,0.814041889580718,hold
2020-06-05,-1,-1,0.0024945207587225,-0.0024945207587225,0.8120112451886892,hold
2020-06-08,-1,-1,-0.0118810323499978,0.0118810323499978,0.821658777061338,hold
2020-06-09,-1,-1,0.0069177285262014,-0.0069177285262014,0.815974764700457,hold
2020-06-10,-1,-1,-0.021169158460066,0.021169158460066,0.833248263793816,hold
2020-06-11,-1,-1,0.0071602091117954,-0.0071602091117954,0.8272820319830119,hold
2020-06-12,-1,-1,-0.0159632793948444,0.0159632793948444,0.8404881661978912,hold
2020-06-15,-1,-1,0.010220386061458,-0.010220386061458,0.8318980526592619,hold
2020-06-16,-1,-1,-0.0033134566648174,0.0033134566648174,0.8346545108062944,hold
2020-06-17,1,1,0.0213031875518985,0.0213031875518985,0.8516006578802328,flip
2020-06-18,0,1,0.0151362754442923,0.0151362754442923,0.8644907200064484,hold
2020-06-19,-1,-1,0.0065206163504338,-0.0065206163504338,0.8579892169627696,flip
2020-06-22,-1,-1,0.0154976919912916,-0.0154976919912916,0.8446923643464311,hold
2020-06-23,-1,-1,-0.0158246772335498,0.0158246772335498,0.8580593483738574,hold
2020-06-24,1,1,-0.0015913572989929,-0.0015913572989929,0.8558358100184797,flip
2020-06-25,0,1,0.0091457401473864,0.0091457401473864,0.8636630619457367,hold
2020-06-26,0,1,-0.0067995386087835,-0.0067995386087835,0.8577905516110566,hold
2020-06-29,1,1,-0.0009988732845714,-0.0009988732845714,0.8569337275452945,hold
2020-06-30,1,1,0.0124198173347171,0.0124198173347171,0.8675766879093654,hold
2020-07-01,1,1,0.0116634525148986,0.0116634525148986,0.8776956274118293,hold
2020-07-02,0,1,0.0052739760448483,0.0052739760448483,0.8823245731254674,hold
2020-07-03,0,1,0.014735139974255,0.014735139974255,0.895325749213196,hold
2020-07-06,1,1,0.0033445902359812,0.0033445902359812,0.8983202469720369,hold
2020-07-07,-1,-1,-0.008694762073642,0.008694762073642,0.9052326075384222,flip
2020-07-08,-1,-1,0.0100600327219018,-0.0100600327219018,0.8961259378856531,hold
2020-07-09,-1,-1,-0.0041985110954393,0.0041985110954393,0.8998883325787769,hold
2020-07-10,-1,-1,0.0032178891492418,-0.0032178891492418,0.8969925916778423,hold
2020-07-13,-1,-1,-0.0180834960154004,0.0180834960154004,0.9132133536352922,hold
2020-07-14,-1,-1,0.0010229309240368,-0.0010229309240368,0.9122791994556153,hold
2020-07-15,0,-1,0.0114661616621005,-0.0114661616621005,0.9018188586736856,hold
2020-07-16,0,-1,0.0150605912558696,-0.0150605912558696,0.8882369334563665,hold
2020-07-17,1,1,0.0110533217609316,0.0110533217609316,0.8971666651483466,flip
2020-07-20,1,1,0.0127061568657644,0.0127061568657644,0.9085662055304563,hold
2020-07-21,1,1,-0.0026563094918139,-0.0026563094918139,0.9061527724947643,hold
2020-07-22,1,1,0.0074421598588463,0.0074421598588463,0.9128965062842072,hold
2020-07-23,1,1,-0.0018991484351116,-0.0018991484351116,0.9111627803128787,hold
2020-07-24,1,1,-0.0055699256988469,-0.0055699256988469,0.9060876713269812,hold
2020-07-27,1,1,0.0151592736988444,0.0151592736988444,0.9198233023317754,hold
2020-07-28,1,1,-0.0086456143286032,-0.0086456143286032,0.9118708648093528,hold
2020-07-29,1,1,-0.0089887146807479,-0.0089887146807479,0.9036743177798946,hold
2020-07-30,0,1,-0.0025851023723058,-0.0025851023723058,0.90133822715721,hold
2020-07-31,-1,-1,-0.0164222155452939,0.0164222155452939,0.9152388595756418,flip
2020-08-03,0,-1,0.0186979321613793,-0.0186979321613793,0.8981257854678383,hold
2020-08-04,-1,-1,0.0005768586219327,-0.0005768586219327,0.8976076938649111,hold
2020-08-05,-1,-1,0.0088725546683743,-0.0088725546683743,0.8896436205303413,hold
2020-08-06,1,1,0.001241002448872,0.001241002448872,0.8898580268215126,flip
2020-08-07,0,1,0.005002705259437,0.005002705259437,0.8943097242524448,hold
2020-08-10,0,1,0.0046449787767293,0.0046449787767293,0.8984637739414201,hold
2020-08-11,0,1,-0.0012452735151247,-0.0012452735151247,0.8973449407994318,hold
2020-08-12,-1,-1,-0.000703034473301,0.000703034473301,0.8970784602864567,flip
2020-08-13,-1,-1,-0.0108004373788689,0.0108004373788689,0.9067673000207126,hold
2020-08-14,-1,-1,0.0061457110453491,-0.0061457110453491,0.901194570209414,hold
2020-08-17,0,-1,0.0122920579350753,-0.0122920579350753,0.8901170343416246,hold
2020-08-18,1,1,0.0020246002135075,0.0020246002135075,0.8910290484450578,flip
2020-08-19,0,1,-0.008432399987605,-0.008432399987605,0.883515535107994,hold
2020-08-20,-1,-1,0.0052509160938571,-0.0052509160938571,0.8779927536304146,flip
2020-08-21,0,-1,0.0083410064718865,-0.0083410064718865,0.8706694103901139,hold
2020-08-24,1,1,0.0005058064691958,0.0005058064691958,0.87023913120003,flip
2020-08-25,0,1,0.0067423225064831,0.0067423225064831,0.8761065640803423,hold
2020-08-26,0,1,0.0008355606212675,0.0008355606212675,0.8768386042253218,hold
2020-08-27,0,1,0.0076431956549949,0.0076431956549949,0.8835404532352686,hold
2020-08-28,0,1,-0.0223307478019462,-0.0223307478019462,0.8638103342012546,hold
2020-08-31,-1,-1,0.0072667398463226,-0.0072667398463226,0.8566694388918479,flip
2020-09-01,1,1,0.0056450382511279,0.0056450382511279,0.8606487012040729,flip
2020-09-02,1,1,-0.0006545127600779,-0.0006545127600779,0.8600853956471903,hold
2020-09-03,-1,-1,-0.0167947449485598,0.0167947449485598,0.8736702251054188,flip
2020-09-04,0,-1,0.0018705202595032,-0.0018705202595032,0.8720360072492345,hold
2020-09-07,-1,-1,-0.0033201259317187,0.0033201259317187,0.874931276610295,hold
2020-09-08,1,1,-0.0034769279675166,-0.0034769279675166,0.8710142723083834,flip
2020-09-09,1,1,0.0151844298634509,0.0151844298634509,0.8842401274363147,hold
2020-09-10,1,1,0.0013276149365679,0.0013276149365679,0.885414057837012,hold
2020-09-11,-1,-1,-0.0021283524468515,0.0021283524468515,0.8864131169556491,flip
2020-09-14,0,-1,0.0071459479106903,-0.0071459479106903,0.8800788549945313,hold
2020-09-15,0,-1,0.0071820376506051,-0.0071820376506051,0.8737580955224592,hold
2020-09-16,1,1,-0.0076220272911209,-0.0076220272911209,0.8662245293770267,flip
2020-09-17,-1,-1,-0.0009681588767627,0.0009681588767627,0.8661969478150356,flip
2020-09-18,-1,-1,-0.0221122548386738,0.0221122548386738,0.8853505154656032,hold
2020-09-21,0,-1,-0.0086128603263573,0.0086128603263573,0.8929759157951769,hold
2020-09-22,-1,-1,-0.0019545871070447,0.0019545871070447,0.8947213150070916,hold
2020-09-23,-1,-1,-0.0293122720965164,0.0293122720965164,0.9209476296431325,hold
2020-09-24,1,1,0.0226457884823545,0.0226457884823545,0.9408822672377136,flip
2020-09-25,-1,-1,0.0160448681873712,-0.0160448681873712,0.9248450530128118,flip
2020-09-28,1,1,-0.0004586409458945,-0.0004586409458945,0.9234960361498793,flip
2020-09-29,-1,-1,0.0022410013176423,-0.0022410013176423,0.9205029842798801,flip
2020-09-30,-1,-1,0.0150610927327836,-0.0150610927327836,0.9066392034728368,hold
2020-10-01,0,-1,0.0075676439490797,-0.0075676439490797,0.8997780807906771,hold
2020-10-05,0,-1,0.0138264754746197,-0.0138264754746197,0.8873373212240244,hold
2020-10-06,0,-1,0.0065551872847253,-0.0065551872847253,0.8815206588986745,hold
2020-10-07,-1,-1,0.0081566766068399,-0.0081566766068399,0.8743303799617895,hold
2020-10-08,1,1,0.0067260903253916,0.0067260903253916,0.8793368746916848,flip
2020-10-09,0,1,0.0014058853909966,0.0014058853909966,0.8805731215575784,hold
2020-10-12,-1,-1,0.0002975290843887,-0.0002975290843887,0.8794305523214264,flip
2020-10-13,-1,-1,0.0030625333853533,-0.0030625333853533,0.8767372668948423,hold
2020-10-14,-1,-1,-0.0242836008583533,0.0242836008583533,0.8980276047417602,hold
2020-10-15,-1,-1,0.007028949362235,-0.007028949362235,0.8917154141821413,hold
2020-10-16,-1,-1,0.0094027696218492,-0.0094027696218492,0.8833308195743348,hold
2020-10-19,1,1,0.0020003285078973,0.0020003285078973,0.8842144405750594,flip
2020-10-20,1,1,0.0034337457642519,0.0034337457642519,0.8872506081650744,hold
2020-10-21,-1,-1,-0.0034512817819539,0.0034512817819539,0.889425509416897,flip
2020-10-22,1,1,0.0028495402835257,0.0028495402835257,0.8910705377257592,flip
2020-10-23,-1,-1,-0.0136290733045432,0.0136290733045432,0.9023239328662166,flip
2020-10-26,0,-1,0.0103376083469652,-0.0103376083469652,0.8929960614461524,hold
2020-10-27,0,-1,-0.0134406089457635,0.0134406089457635,0.9049984722981571,hold
2020-10-28,0,-1,-0.0050129421843609,0.0050129421843609,0.9095351773167228,hold
2020-10-29,0,-1,-0.0024333734223676,0.0024333734223676,0.9117484160439138,hold
2020-10-30,0,-1,0.0022976361491175,-0.0022976361491175,0.9096535499243107,hold
2020-11-02,1,1,0.0123701901631991,0.0123701901631991,0.9199964837695794,flip
2020-11-03,-1,-1,0.008041647267956,-0.008041647267956,0.9116782000755751,flip
2020-11-04,0,-1,0.0177855989156905,-0.0177855989156905,0.8954634572688522,hold
2020-11-05,0,-1,0.0118190145712895,-0.0118190145712895,0.8848799616193344,hold
2020-11-06,0,-1,0.0161046355374614,-0.0161046355374614,0.8706292923430521,hold
2020-11-09,0,-1,0.0136465071043638,-0.0136465071043638,0.8587482435198254,hold
2020-11-10,0,-1,0.0093460415087203,-0.0093460415087203,0.8507223467903484,hold
2020-11-11,-1,-1,-0.0045768215253314,0.0045768215253314,0.854615951139219,hold
2020-11-12,-1,-1,0.0022969703307613,-0.0022969703307613,0.8526529236552568,hold
2020-11-13,-1,-1,0.0121266198083733,-0.0121266198083733,0.8423131258215916,hold
2020-11-17,-1,-1,0.0049750511655721,-0.0049750511655721,0.8381225749231962,hold
2020-11-18,0,-1,-0.0128726686134137,0.0128726686134137,0.8489114490876035,hold
2020-11-19,0,-1,0.0068393094137191,-0.0068393094137191,0.8431054810224448,hold
2020-11-20,-1,-1,0.005241475198302,-0.005241475198302,0.8386863645541132,hold
2020-11-23,-1,-1,0.0099563448098976,-0.0099563448098976,0.830336113921253,hold
2020-11-24,-1,-1,-0.0150706804680923,0.0150706804680923,0.8428498441752776,hold
2020-11-25,0,-1,0.0100012136399767,-0.0100012136399767,0.8344203228172595,hold
2020-11-26,-1,-1,-0.0013898363507738,0.0013898363507738,0.8355800305137354,hold
2020-11-27,-1,-1,0.0108026946873185,-0.0108026946873185,0.8265535145572752,hold
2020-12-01,-1,-1,0.0003585458429504,-0.0003585458429504,0.8262571572306547,hold
2020-12-02,-1,-1,0.00153658492994,-0.00153658492994,0.8249875429345991,hold
2020-12-03,0,-1,0.0094906623588735,-0.0094906623588735,0.8171578647143302,hold
2020-12-04,0,-1,0.0073311332494399,-0.0073311332494399,0.8111671715222816,hold
2020-12-07,0,-1,0.0027853318093331,-0.0027853318093331,0.8089078017967538,hold
2020-12-08,0,-1,0.0101657522858669,-0.0101657522858669,0.8006846454615829,hold
2020-12-09,0,-1,-0.0037548548058806,0.0037548548058806,0.8036911000505891,hold
2020-12-10,1,1,0.0026375585350264,0.0026375585350264,0.8050071912710018,flip
2020-12-11,0,1,0.0032781762806703,0.0032781762806703,0.8076461467511955,hold
2020-12-14,-1,-1,0.0007153791977927,-0.0007153791977927,0.806260727351881,flip
2020-12-15,-1,-1,0.008464907059269,-0.008464907059269,0.7994358052293087,hold
2020-12-16,0,-1,0.0042389293905504,-0.0042389293905504,0.7960470532986639,hold
2020-12-17,0,-1,0.0014445849987885,-0.0014445849987885,0.7948970956671388,hold
2020-12-18,-1,-1,-0.0314049525779333,0.0314049525779333,0.8198608012609021,hold
2020-12-21,0,-1,0.0103462838766079,-0.0103462838766079,0.8113782886717537,hold
2020-12-22,0,-1,0.0100101591857162,-0.0100101591857162,0.8032562628423153,hold
2020-12-23,0,-1,0.0108925303747413,-0.0108925303747413,0.7945067696006043,hold
2020-12-24,-1,-1,0.0090150513891666,-0.0090150513891666,0.7873442502436141,hold
2020-12-28,0,-1,0.0042815942411449,-0.0042815942411449,0.7839731616359724,hold
2020-12-29,-1,-1,0.0035420946069744,-0.0035420946069744,0.7811962545281289,hold
2020-12-30,0,-1,-1.4318125132972703e-05,1.4318125132972703e-05,0.7812074397938548,hold
2020-12-31,0,-1,0.0026284263414808,-0.0026284263414808,0.7791540935809399,hold
2021-01-01,0,-1,0.0081606727271106,-0.0081606727271106,0.7727956720192373,hold
2021-01-04,0,-1,0.0047123808655142,-0.0047123808655142,0.7691539644814617,hold
2021-01-05,0,-1,-0.0037501320469031,0.0037501320469031,0.7720383934126662,hold
2021-01-06,1,1,-0.000629169612088,-0.000629169612088,0.770780611922753,flip
2021-01-07,-1,-1,0.014847223590326,-0.014847223590326,0.7585658792265249,flip
2021-01-08,-1,-1,0.0095837181341371,-0.0095837181341371,0.751295997653844,hold
2021-01-11,0,-1,0.0054333140242324,-0.0054333140242324,0.7472139705734417,hold
2021-01-12,0,-1,9.609083312889231e-05,-9.609083312889231e-05,0.7471421701604838,hold
2021-01-13,-1,-1,0.002111247340323,-0.002111247340323,0.7455647682408894,hold
2021-01-14,-1,-1,-0.0110923441582015,0.0110923441582015,0.7538348292424472,hold
2021-01-15,0,-1,-0.0105586501425666,0.0105586501425666,0.7617943074696996,hold
2021-01-18,0,-1,0.0167947308170628,-0.0167947308170628,0.7490001771377751,hold
2021-01-19,-1,-1,0.008508265623863,-0.008508265623863,0.7426274846783665,hold
2021-01-20,-1,-1,-0.0037112802046228,0.0037112802046228,0.7453835833616622,hold
2021-01-21,0,-1,-0.0149721716475961,0.0149721716475961,0.7565435943150532,hold
2021-01-22,0,-1,-0.0092541693433081,0.0092541693433081,0.7635447768524397,hold
2021-01-25,0,-1,-0.0190604880418779,0.0190604880418779,0.7780983129410739,hold
2021-01-27,0,-1,-0.0107356502819043,0.0107356502819043,0.786451704313749,hold
2021-01-28,0,-1,-0.0132404223540728,0.0132404223540728,0.7968646570399434,hold
2021-01-29,0,-1,0.0474235111013383,-0.0474235111013383,0.7590745371305454,hold
2021-02-01,-1,-1,0.0256735714819573,-0.0256735714819573,0.7395863827413908,hold
2021-02-02,-1,-1,0.0097011226717231,-0.0097011226717231,0.7324115645160806,hold
2021-02-03,-1,-1,0.0071467580293813,-0.0071467580293813,0.7271771962865636,hold
2021-02-04,0,-1,0.0019199973566108,-0.0019199973566108,0.7257810179919059,hold
2021-02-05,-1,-1,0.0128348027329681,-0.0128348027329681,0.716465761798647,hold
2021-02-08,-1,-1,-0.0004300136336804,0.0004300136336804,0.7167738518442855,hold
2021-02-09,-1,-1,-0.0001853034041081,0.0001853034041081,0.716906672479008,hold
2021-02-10,-1,-1,0.0044219246475027,-0.0044219246475027,0.713736565194014,hold
2021-02-11,0,-1,-0.0006590524229219,0.0006590524229219,0.7142069550066331,hold
2021-02-12,-1,-1,0.0099846598415338,-0.0099846598415338,0.7070758415044343,hold
2021-02-15,-1,-1,-8.162092525865194e-05,8.162092525865194e-05,0.7071335536888458,hold
2021-02-16,-1,-1,-0.0068273186874309,0.0068273186874309,0.711961379814455,hold
2021-02-17,-1,-1,-0.0059143128695843,0.0059143128695843,0.7161721421657385,hold
2021-02-18,0,-1,-0.0090747170630297,0.0090747170630297,0.7226712017243164,hold
2021-02-19,0,-1,-0.0204281745915864,0.0204281745915864,0.7374340552054524,hold
2021-02-22,0,-1,0.0021872625461001,-0.0021872625461001,0.7358210933162828,hold
2021-02-23,-1,-1,0.0186431824578623,-0.0186431824578623,0.7221030464172435,hold
2021-02-24,-1,-1,0.0076992130139501,-0.0076992130139501,0.7165434212448549,hold
2021-02-25,1,1,-0.0376356932475859,-0.0376356932475859,0.688859269423063,flip
2021-02-26,0,1,0.0159953891187234,0.0159953891187234,0.6998778414855245,hold
2021-03-01,0,1,0.0106729853417877,0.0106729853417877,0.7073476274287415,hold
2021-03-02,0,1,0.0218846987116321,0.0218846987116321,0.7228277171394073,hold
2021-03-03,0,1,-0.0108129305241382,-0.0108129305241382,0.7150118312530575,hold
2021-03-04,0,1,-0.0094591045289524,-0.0094591045289524,0.7082484596017972,hold
