idx,date,signal,entry,exit,return,equity,confidence
0,2020-01-01,-1,12182.5,12282.2001953125,-0.0091838863379848,0.9908161136620152,0.5603662
2,2020-01-03,-1,12226.650390625,11993.0498046875,0.0181058530729411,1.008755684638282,0.390958
4,2020-01-07,1,12052.9501953125,12025.349609375,-0.0032899444111396,1.0054369345114011,0.47880292
5,2020-01-08,-1,12025.349609375,12215.900390625,-0.0168457581226117,0.9884995871050818,0.48351738
6,2020-01-09,1,12215.900390625,12256.7998046875,0.00234804744265,0.9908206310326444,0.54543
7,2020-01-10,1,12256.7998046875,12329.5498046875,0.0049354808073292,0.995710807240612,0.35078615
8,2020-01-13,1,12329.5498046875,12362.2998046875,0.0016562202609821,0.9973599236536428,0.67366064
9,2020-01-14,1,12362.2998046875,12343.2998046875,-0.0025369308543055,0.994829690490478,0.47344872
12,2020-01-17,-1,12352.349609375,12224.5498046875,0.0093461939411514,1.0041275617162178,0.57931226
14,2020-01-21,1,12169.849609375,12106.900390625,-0.0061725551893021,0.997929528924425,0.51726437
15,2020-01-22,1,12106.900390625,12180.349609375,0.0050667236352977,1.0029857620549878,0.44344905
16,2020-01-23,1,12180.349609375,12248.25,0.0045745847042631,1.007574005380678,0.6833635
17,2020-01-24,1,12248.25,12119.0,-0.0115525279121507,0.9959339785599604,0.5414029
19,2020-01-28,1,12055.7998046875,12129.5,0.0051132563999481,1.0010264443497578,0.4823351
20,2020-01-29,1,12129.5,12035.7998046875,-0.008724984155365,0.9922925044837048,0.46725217
21,2020-01-30,-1,12035.7998046875,11962.099609375,0.0051234148547233,0.9973764306414074,0.39392745
24,2020-02-04,1,11979.650390625,12089.150390625,0.0081405004678343,1.005495573941651,0.51087546
25,2020-02-05,1,12089.150390625,12137.9501953125,0.0030366612301674,1.0085489233681444,0.57182443
26,2020-02-06,-1,12137.9501953125,12098.349609375,0.0022625431230384,1.0108308087989588,0.43758348
27,2020-02-07,-1,12098.349609375,12031.5,0.0045255147630382,1.0154053385471125,0.35254437
28,2020-02-10,1,12031.5,12107.900390625,0.0053500303889789,1.0208377879654709,0.49080607
31,2020-02-13,-1,12174.650390625,12113.4501953125,0.0040268544351488,1.0249485531395073,0.45615846
32,2020-02-14,-1,12113.4501953125,12045.7998046875,0.0045847334602637,1.029647669066135,0.42565277
33,2020-02-17,-1,12045.7998046875,11992.5,0.0034247626186481,1.0331739679135308,0.595389
34,2020-02-18,1,11992.5,12125.900390625,0.010123651500938,1.0436334611045288,0.4676345
35,2020-02-19,1,12125.900390625,12080.849609375,-0.0047152524595064,1.0387124658602325,0.4963746
36,2020-02-20,1,12080.849609375,11829.400390625,-0.0218138687990015,1.01605412841007,0.50710946
38,2020-02-25,1,11797.900390625,11678.5,-0.0111204779385897,1.0047551208906729,0.42794636
40,2020-02-27,1,11633.2998046875,11201.75,-0.0380960786649384,0.966477890766222,0.66038764
41,2020-02-28,1,11201.75,11132.75,-0.0071597518244917,0.9595581489244778,0.6836462
42,2020-03-02,1,11132.75,11303.2998046875,0.0143196474085468,0.973298683285074,0.7934401
43,2020-03-03,-1,11303.2998046875,11251.0,0.0036269501465236,0.976828789087026,0.56516165
44,2020-03-04,1,11251.0,11269.0,0.0005998577904186,0.9774147474460652,0.7228588
45,2020-03-05,-1,11269.0,10989.4501953125,0.0238069753028219,1.0006840361991276,0.6522886
46,2020-03-06,1,10989.4501953125,10451.4501953125,-0.0499560433359515,0.9506938211211692,0.5565265
47,2020-03-09,1,10451.4501953125,10458.400390625,-0.0003350018243767,0.9503753369566698,0.7280504
48,2020-03-11,-1,10458.400390625,9590.150390625,0.082019388010647,1.0283245404742682,0.49919572
49,2020-03-12,1,9590.150390625,9955.2001953125,0.0370650761268937,1.0664394678501,0.8995051
50,2020-03-13,-1,9955.2001953125,9197.400390625,0.0751210010667909,1.1465514682521354,0.50190115
51,2020-03-16,1,9197.400390625,8967.0498046875,-0.0260451840905283,1.116689324192243,0.8902857
52,2020-03-17,1,8967.0498046875,8468.7998046875,-0.056564540272715,1.05352430594186,0.91692746
53,2020-03-18,1,8468.7998046875,8263.4501953125,-0.0252477817531285,1.0269251541938238,0.89789
54,2020-03-19,1,8263.4501953125,8745.4501953125,0.0573291468584657,1.085797897171254,0.9155732
55,2020-03-20,-1,8745.4501953125,7610.25,0.1288046607047124,1.2256537269102876,0.5371169
56,2020-03-23,1,7610.25,7801.0498046875,0.0240714240251634,1.2551569574787669,0.9252395
57,2020-03-24,-1,7801.0498046875,8317.849609375,-0.0672474689466749,1.1707508289575104,0.52841383
