date,signal,position,market_return,pnl,equity,action
2020-01-01,0,0,0.0081838863379848,0.0,1.0,hold
2020-01-02,0,0,-0.0045227893866035,-0.0,1.0,hold
2020-01-03,0,0,-0.0191058530729412,-0.0,1.0,hold
2020-01-06,0,0,0.0049945920012428,0.0,1.0,hold
2020-01-07,1,1,-0.0022899444111396,-0.0022899444111396,0.9974600555888604,enter
2020-01-08,-1,-1,0.0158457581226116,-0.0158457581226116,0.9811558147832382,flip
2020-01-09,1,1,0.0033480474426501,0.0033480474426501,0.983950193092373,flip
2020-01-10,0,1,0.0059354808073293,0.0059354808073293,0.9897904105788408,hold
2020-01-13,1,1,0.0026562202609821,0.0026562202609821,0.9924195119215461,hold
2020-01-14,1,1,-0.0015369308543056,-0.0015369308543056,0.990894231753259,hold
2020-01-15,0,1,0.0009884063018437,0.0009884063018437,0.9918736378563845,hold
2020-01-16,0,1,-0.0002549788049855,-0.0002549788049855,0.9916207311015073,hold
2020-01-17,0,1,-0.0103461939411514,-0.0103461939411514,0.9813612307014647,hold
2020-01-20,0,1,-0.0044746183856623,-0.0044746183856623,0.9769700136955918,hold
2020-01-21,1,1,-0.0051725551893021,-0.0051725551893021,0.9719165823814581,hold
2020-01-22,1,1,0.0060667236352978,0.0060667236352978,0.9778129316833295,hold
2020-01-23,1,1,0.0055745847042631,0.0055745847042631,0.9832638326959221,hold
2020-01-24,1,1,-0.0105525279121506,-0.0105525279121506,0.9728879136563903,hold
2020-01-27,0,1,-0.0052149678449129,-0.0052149678449129,0.9678143344699678,hold
2020-01-28,0,1,0.0061132563999481,0.0061132563999481,0.9737308316441279,hold
2020-01-29,1,1,-0.007724984155365,-0.007724984155365,0.9662087763980866,hold
2020-01-30,0,1,-0.0061234148547233,-0.0061234148547233,0.9602922792239265,hold
2020-01-31,0,1,-0.0212503847193161,-0.0212503847193161,0.9398856988474291,hold
2020-02-03,0,1,0.0232108226866707,0.0232108226866707,0.9617012191491144,hold
2020-02-04,1,1,0.0091405004678344,0.0091405004678344,0.9704916495926639,hold
2020-02-05,1,1,0.0040366612301674,0.0040366612301674,0.9744091956087758,hold
2020-02-06,0,1,-0.0032625431230384,-0.0032625431230384,0.971230143588617,hold
2020-02-07,1,1,-0.0055255147630383,-0.0055255147630383,0.9658635970919103,hold
2020-02-10,1,1,0.0063500303889789,0.0063500303889789,0.9719968602850524,hold
2020-02-11,1,1,0.0077056964194832,0.0077056964194832,0.9794867730110999,hold
2020-02-12,0,1,-0.0021759994314084,-0.0021759994314084,0.9773554103499557,hold
2020-02-13,1,1,-0.0050268544351488,-0.0050268544351488,0.9724423869707213,hold
2020-02-14,0,1,-0.0055847334602637,-0.0055847334602637,0.9670115554340272,hold
2020-02-17,0,1,-0.0044247626186481,-0.0044247626186481,0.9627327588517419,hold
2020-02-18,1,1,0.011123651500938,0.011123651500938,0.9734418625497454,hold
2020-02-19,1,1,-0.0037152524595064,-0.0037152524595064,0.9698252802757209,hold
2020-02-20,1,1,-0.0208138687990014,-0.0208138687990014,0.9496394641341073,hold
2020-02-24,0,1,-0.0026628568617023,-0.0026628568617023,0.9471107101708944,hold
2020-02-25,0,1,-0.0101204779385897,-0.0101204779385897,0.9375254971232079,hold
2020-02-26,0,1,-0.0038703767874727,-0.0038703767874727,0.9338969202014784,hold
2020-02-27,1,1,-0.0370960786649383,-0.0370960786649383,0.8992530065847407,hold
2020-02-28,0,1,-0.0061597518244916,-0.0061597518244916,0.8937138312367509,hold
2020-03-02,1,1,0.0153196474085468,0.0153196474085468,0.9074052120154394,hold
2020-03-03,-1,-1,-0.0046269501465237,0.0046269501465237,0.911150028088123,flip
2020-03-04,1,1,0.0015998577904186,0.0015998577904186,0.9121521635447558,flip
2020-03-05,-1,-1,-0.0248069753028219,0.0248069753028219,0.9343238236564538,flip
