model,threshold,final_equity,sharpe,max_drawdown,trades
rf,0.35,0.526162939459195,-0.5018807158917112,-0.6185452740961056,213
xgb,0.4399999976158142,0.412120276577959,-0.7324330438865421,-0.6494207895022084,214
