model,transaction_cost,final_equity,sharpe,max_drawdown,trades
rf,0.00025,1.0255616513835033,0.12090391494233671,-0.5375200922541823,149
xgb,0.00025,0.5906678715421819,-0.4036991142124571,-0.6666234650014837,223
rf,0.0005,0.9521818308544463,0.051621007297234615,-0.5572153121793031,149
xgb,0.0005,0.5283885474409769,-0.5076017868676597,-0.6895385309946387,223
rf,0.001,0.8207063771741202,-0.08692672600730722,-0.5941517724602425,149
xgb,0.001,0.4227667322601018,-0.7144954358862553,-0.7307805137325265,223
