idx,date,signal,entry,exit,return,equity,confidence,shap
65,2020-04-07,1,8792.2001953125,8748.75,-0.0059419024075071,1.2259730139753844,0.7910986,"[ 0.03392449  0.0322854   0.00921886 -0.00292289  0.05804139  0.01787104
  0.05081511 -0.04157789  0.26600383 -0.01734418  0.08259472]"
66,2020-04-08,-1,8748.75,9111.900390625,-0.0425088316188026,1.1738583335551087,0.5125182,"[-0.03125688 -0.03040095  0.02241922  0.00949823 -0.05396602 -0.06480478
 -0.04133583  0.07085339  0.08518423  0.11019083  0.04693428]"
67,2020-04-09,-1,9111.900390625,8993.849609375,0.0119556707370791,1.18789259728307,0.532058,"[-0.0109135  -0.03001901  0.02132493  0.02283935 -0.0190758  -0.00514975
 -0.03214302  0.04954073  0.02069916  0.12236041  0.003392  ]"
68,2020-04-13,-1,8993.849609375,8925.2998046875,0.0066218535626885,1.1957586481104805,0.5469862,"[ 0.00294232 -0.0259325   0.02016414 -0.00378808 -0.05851062 -0.04187292
 -0.05774848  0.06262056 -0.0038085   0.11402136  0.14969644]"
69,2020-04-15,-1,8925.2998046875,8992.7998046875,-0.0085627711647903,1.185519640438391,0.5596454,"[-0.02752352 -0.01551776  0.0453848   0.00150176 -0.04330211 -0.0476686
 -0.04310439  0.06647756 -0.01233018  0.10946702  0.13705833]"
70,2020-04-16,-1,8992.7998046875,9266.75,-0.0314632818768748,1.1482193018207068,0.6291081,"[ 0.01623909 -0.00522554  0.05568403  0.02930914 -0.00813826 -0.02592545
 -0.04279156  0.03982549  0.00594333  0.10542736  0.06955794]"
71,2020-04-17,-1,9266.75,9261.849609375,-0.0004711856233307,1.147678277393258,0.45123857,"[-0.00260051 -0.02002637  0.04893823  0.02280362 -0.00473999  0.01469674
 -0.0512777   0.04344248 -0.00990191  0.12260501 -0.10190355]"
72,2020-04-20,-1,9261.849609375,8981.4501953125,0.0292746671440956,1.181276176952455,0.6444104,"[-0.02455043 -0.02027742  0.01936033 -0.01223139 -0.01802465  0.11861498
 -0.06122682  0.05236849  0.07089129  0.1159728   0.01431067]"
73,2020-04-21,-1,8981.4501953125,9187.2998046875,-0.0239194177887257,1.15302073855206,0.613049,"[-0.00129794 -0.00388485  0.03193992 -0.01107655 -0.03165123  0.08587344
 -0.04702072  0.04879017  0.05139557  0.09284616  0.0079325 ]"
74,2020-04-22,-1,9187.2998046875,9313.900390625,-0.0147799558770147,1.1359791429109778,0.41928726,"[ 0.00833784 -0.02118113  0.04207186  0.01646738 -0.00152061 -0.04845082
 -0.04235257  0.04160096  0.01376174  0.11014398 -0.08879388]"
76,2020-04-24,-1,9154.400390625,9282.2998046875,-0.0149713589754585,1.118971991373824,0.63823414,"[ 0.00776996 -0.00323788  0.03434047 -0.0017149  -0.02359425 -0.0105233
 -0.04230831  0.0553285   0.06497653  0.11073856  0.05725626]"
77,2020-04-27,-1,9282.2998046875,9380.900390625,-0.0116224306488901,1.105966817006031,0.3859471,"[-0.01667679 -0.02768959  0.02322389  0.00255768 -0.01670268 -0.0715536
 -0.07720156  0.02503046  0.04947104  0.10724731 -0.00096156]"
