model,transaction_cost,threshold,final_equity,sharpe,max_drawdown,trades
rf,0.00025,0.35,0.5851714406014793,-0.40260880923979836,-0.5971503889528705,213
xgb,0.00025,0.4399999976158142,0.4585681706543504,-0.6325352154922455,-0.6209610317792487,214
rf,0.0005,0.35,0.526162939459195,-0.5018807158917112,-0.6185452740961056,213
xgb,0.0005,0.4399999976158142,0.412120276577959,-0.7324330438865421,-0.6494207895022084,214
rf,0.001,0.35,0.4253292649323136,-0.6999436075685866,-0.6580146731640617,213
xgb,0.001,0.4399999976158142,0.33280860570552884,-0.9316631708012042,-0.7001253052254142,214
