Date,Close,High,Low,Open,Volume,ret_1d,ma_5,ma_20,ma_diff,vol_20,momentum,next_ret,label
2007-10-18,5351.0,5736.7998046875,5269.64990234375,5551.10009765625,0.0,-0.03746871224895365,5535.39990234375,5207.4224853515625,327.9774169921875,278.0628519301997,-173.85009765625,-0.02535978234208558,-1
2007-10-19,5215.2998046875,5390.85009765625,5101.75,5360.35009765625,0.0,-0.02535978234208558,5492.80986328125,5230.809985351562,261.9998779296875,256.1557615634979,-212.9501953125,-0.006001535071745612,-1
2007-10-22,5184.0,5247.39990234375,5070.89990234375,5202.75,0.0,-0.006001535071745612,5395.5298828125,5248.132495117187,147.39738769531232,239.32316046920573,-486.39990234375,0.05588352533034335,1
2007-10-23,5473.7001953125,5488.5,5176.85009765625,5185.2998046875,0.0,0.05588352533034335,5356.6599609375,5275.207495117187,81.45246582031268,232.22520653043236,-194.349609375,0.004101376807315038,1
2007-10-24,5496.14990234375,5577.89990234375,5419.39990234375,5477.60009765625,0.0,0.004101376807315038,5344.02998046875,5303.072485351562,40.957495117188046,222.99309397886523,-63.14990234375,0.013245689120980009,1
2007-10-25,5568.9501953125,5605.9501953125,5469.2998046875,5499.0498046875,0.0,0.013245689120980009,5387.62001953125,5334.4949951171875,53.125024414062864,213.27979478458263,217.9501953125,0.023945196975768024,1
2007-10-26,5702.2998046875,5716.89990234375,5513.35009765625,5564.25,0.0,0.023945196975768024,5485.02001953125,5369.582495117187,115.43752441406286,213.17345062927566,487.0,0.035704909357604064,1
2007-10-29,5905.89990234375,5922.5,5708.89990234375,5708.89990234375,0.0,0.035704909357604064,5629.4,5413.809985351562,215.59001464843732,228.34238164084425,721.89990234375,-0.006290303418282961,-1
2007-10-30,5868.75,5976.0,5833.89990234375,5917.5498046875,0.0,-0.006290303418282961,5708.4099609375,5453.799975585937,254.6099853515625,234.71402281101587,395.0498046875,0.005435553115015868,1
2007-10-31,5900.64990234375,5952.25,5861.2998046875,5868.89990234375,0.0,0.005435553115015868,5789.3099609375,5488.29248046875,301.01748046875036,247.4665201920673,404.5,-0.005795922075916726,-1
2007-11-01,5866.4501953125,6011.9501953125,5837.2001953125,5903.7998046875,0.0,-0.005795922075916726,5848.8099609375,5521.1824951171875,327.62746582031286,252.01525833373935,297.5,0.011241842142279967,1
2007-11-02,5932.39990234375,5944.75,5714.25,5854.85009765625,0.0,0.011241842142279967,5894.82998046875,5558.509985351562,336.3199951171882,255.00332576806397,230.10009765625,-0.014344969836343813,-1
2007-11-05,5847.2998046875,5948.5498046875,5819.60009765625,5931.89990234375,0.0,-0.014344969836343813,5883.1099609375,5596.619970703125,286.489990234375,236.83687982028573,-58.60009765625,-0.010397928397439027,-1
2007-11-06,5786.5,5957.2001953125,5759.9501953125,5847.10009765625,0.0,-0.010397928397439027,5866.6599609375,5619.582470703125,247.07749023437464,231.54983111534366,-82.25,-0.000717169678346119,0
2007-11-07,5782.35009765625,5861.35009765625,5744.2998046875,5782.39990234375,0.0,-0.000717169678346119,5843.0,5636.627465820313,206.37253417968714,230.29074497235808,-118.2998046875,-0.014457806297501041,-1
2007-11-08,5698.75,5780.7998046875,5646.75,5779.2998046875,0.0,-0.014457806297501041,5809.4599609375,5645.3224609375,164.13749999999982,229.12828946109886,-167.7001953125,-0.014327686307304188,-1
2007-11-12,5617.10009765625,5660.60009765625,5477.5,5660.60009765625,0.0,-0.014327686307304188,5746.4,5654.764965820313,91.63503417968695,223.5348222158651,-315.2998046875,0.013939542348581302,1
2007-11-13,5695.39990234375,5758.85009765625,5591.60009765625,5612.35009765625,0.0,0.013939542348581302,5716.02001953125,5656.014965820313,60.00505371093732,223.69669490825504,-151.89990234375,0.0425782217505406,1
2007-11-14,5937.89990234375,5950.2001953125,5700.0498046875,5703.9501953125,0.0,0.0425782217505406,5746.3,5669.507470703125,76.79252929687482,232.42852226422207,151.39990234375,-0.004344937623033451,-1
2007-11-15,5912.10009765625,5966.9501953125,5895.64990234375,5942.7001953125,0.0,-0.004344937623033451,5772.25,5687.147485351563,85.10251464843714,236.96761847895152,129.75,-0.0008880093221157459,0
2007-11-16,5906.85009765625,5948.0498046875,5817.39990234375,5913.14990234375,0.0,-0.0008880093221157459,5813.87001953125,5714.939990234375,98.93002929687555,227.89021264129886,208.10009765625,0.00013540290921176812,0
2007-11-19,5907.64990234375,5981.7998046875,5893.7998046875,5908.0498046875,0.0,0.00013540290921176812,5871.97998046875,5749.5574951171875,122.4224853515625,198.71619456452072,290.5498046875,-0.02145523213041356,-1
2007-11-20,5780.89990234375,5923.7001953125,5755.7998046875,5911.25,0.0,-0.02145523213041356,5889.07998046875,5779.402490234375,109.677490234375,147.5389306694321,85.5,-0.0380304280250755,-1
2007-11-21,5561.0498046875,5790.0498046875,5530.85009765625,5778.7998046875,0.0,-0.0380304280250755,5813.7099609375,5783.769970703125,29.939990234374818,139.06255496048928,-376.85009765625,-0.007498531481609949,-1
2007-11-22,5519.35009765625,5608.64990234375,5394.35009765625,5564.64990234375,0.0,-0.007498531481609949,5735.1599609375,5784.92998046875,-49.77001953125,136.6122331612151,-392.75,0.016170382095873848,1
2007-11-23,5608.60009765625,5638.60009765625,5514.75,5524.2998046875,0.0,0.016170382095873848,5675.5099609375,5786.9124755859375,-111.40251464843732,133.56675779614875,-298.25,0.02194845335963458,1
2007-11-26,5731.7001953125,5772.5498046875,5608.9501953125,5611.2998046875,0.0,0.02194845335963458,5640.32001953125,5788.382495117187,-148.06247558593714,132.74577397244116,-175.94970703125,-0.005853462642060103,-1
2007-11-27,5698.14990234375,5743.5498046875,5655.60009765625,5729.25,0.0,-0.005853462642060103,5623.77001953125,5777.9949951171875,-154.2249755859375,131.18507342795692,-82.75,-0.014144959160006909,-1
2007-11-28,5617.5498046875,5749.9501953125,5595.5,5699.5498046875,0.0,-0.014144959160006909,5635.07001953125,5765.434985351562,-130.36496582031214,134.03300018439282,56.5,0.003035183231401506,1
2007-11-29,5634.60009765625,5725.0,5612.10009765625,5617.7998046875,0.0,0.003035183231401506,5658.12001953125,5752.132495117187,-94.01247558593695,133.1061362740847,115.25,0.02274338908222684,1
2007-11-30,5762.75,5782.5498046875,5632.64990234375,5633.89990234375,0.0,0.02274338908222684,5688.95,5746.947485351562,-57.99748535156232,130.41111816282506,154.14990234375,0.017743264934276137,1
2007-12-03,5865.0,5878.7998046875,5754.60009765625,5765.4501953125,0.0,0.017743264934276137,5715.6099609375,5743.577490234375,-27.967529296875,126.16839102311403,133.2998046875,-0.0011338281916026816,0
2007-12-04,5858.35009765625,5897.25,5840.2998046875,5870.2001953125,0.0,-0.0011338281916026816,5747.65,5744.1300048828125,3.519995117187136,126.6697160717037,160.2001953125,0.013937354542265412,1
2007-12-05,5940.0,5949.2998046875,5859.9501953125,5861.89990234375,0.0,0.013937354542265412,5812.1400390625,5751.805004882813,60.33503417968768,133.82054920971598,322.4501953125,0.0024747803556397496,0
2007-12-06,5954.7001953125,6027.0498046875,5919.7998046875,5941.0498046875,0.0,0.0024747803556397496,5876.16005859375,5760.422509765625,115.737548828125,141.2349807988659,320.10009765625,0.0032914519173321555,1
2007-12-07,5974.2998046875,6042.10009765625,5894.7998046875,5963.60009765625,0.0,0.0032914519173321555,5918.47001953125,5774.2,144.27001953125,148.1717869130295,211.5498046875,-0.002293106720305693,0
2007-12-10,5960.60009765625,6015.2998046875,5923.35009765625,5974.0,0.0,-0.002293106720305693,5937.5900390625,5791.375,146.21503906250018,148.90966793625793,95.60009765625,0.022925527649050315,1
2007-12-11,6097.25,6111.2001953125,5960.39990234375,5960.39990234375,0.0,0.022925527649050315,5985.37001953125,5811.467504882812,173.90251464843823,161.82866444717953,238.89990234375,0.01017668697978591,1
2007-12-12,6159.2998046875,6175.64990234375,6005.4501953125,6067.0498046875,0.0,0.01017668697978591,6029.22998046875,5822.5375,206.69248046874964,177.72436937427685,219.2998046875,-0.01643039147960168,-1
2007-12-13,6058.10009765625,6185.39990234375,6040.39990234375,6159.25,0.0,-0.01643039147960168,6049.9099609375,5829.8375,220.07246093750018,184.4673065365053,103.39990234375,-0.0017166937119070802,0
2007-12-14,6047.7001953125,6078.5498046875,6015.0498046875,6056.2001953125,0.0,-0.0017166937119070802,6064.5900390625,5836.8800048828125,227.71003417968768,190.16292636999478,73.400390625,-0.044760849012045356,-1
2007-12-17,5777.0,6039.9501953125,5740.60009765625,6037.9501953125,0.0,-0.044760849012045356,6027.87001953125,5830.347509765625,197.52250976562573,189.84766739559416,-183.60009765625,-0.006006611617188851,-1
2007-12-18,5742.2998046875,5874.60009765625,5710.60009765625,5777.60009765625,0.0,-0.006006611617188851,5956.87998046875,5828.417504882813,128.46247558593677,190.5716378091863,-354.9501953125,0.0015412113538595396,0
2007-12-19,5751.14990234375,5840.7998046875,5676.7001953125,5730.25,0.0,0.0015412113538595396,5875.25,5837.922509765625,37.327490234374636,181.03668231752525,-408.14990234375,0.0026690484367299927,0
2007-12-20,5766.5,5799.5,5742.75,5751.75,0.0,0.0026690484367299927,5816.92998046875,5850.280004882812,-33.35002441406232,165.9533805777999,-291.60009765625,0.03790862701053488,1
2007-12-24,5985.10009765625,6001.0498046875,5771.2998046875,5771.2998046875,0.0,0.03790862701053488,5804.4099609375,5869.105004882813,-64.69504394531305,158.27185694859895,-62.60009765625,0.014310521285565425,1
2007-12-26,6070.75,6085.25,5988.4501953125,5988.4501953125,0.0,0.014310521285565425,5863.1599609375,5886.0574951171875,-22.897534179687682,160.91555765239121,293.75,0.001770786146686909,0
2007-12-27,6081.5,6110.85009765625,6060.2001953125,6069.0,0.0,0.001770786146686909,5931.0,5905.225,25.774999999999636,160.1846240109939,339.2001953125,-0.00029594749445038815,0
2007-12-28,6079.7001953125,6098.60009765625,6021.89990234375,6079.5498046875,0.0,-0.00029594749445038815,5996.71005859375,5928.33251953125,68.37753906249964,149.47779067998738,328.55029296875,0.009687961651326571,1
2007-12-31,6138.60009765625,6167.75,6095.0,6095.0,0.0,0.009687961651326571,6071.130078125,5953.53251953125,117.59755859375036,139.50316106111615,372.10009765625,0.0009366956486047684,0
2008-01-01,6144.35009765625,6165.35009765625,6109.85009765625,6136.75,0.0,0.0009366956486047684,6102.980078125,5972.612524414062,130.3675537109375,138.12541090409277,159.25,0.005704395766912729,1
2008-01-02,6179.39990234375,6197.0,6060.85009765625,6144.7001953125,0.0,0.005704395766912729,6124.71005859375,5988.33251953125,136.37753906249964,143.03701268178332,108.64990234375,-0.00013756961350364083,0
