end_date,Close,High,Low,Open,Volume,ret_1d,ma_5,ma_20,ma_diff,vol_20,momentum
2020-03-26,0.095191024,0.06100003,0.06975183,0.067873426,0.18146543,0.15024145,0.084127426,0.103823885,0.26683918,0.16492847,0.19175734
2020-04-03,0.08931494,0.05709129,0.06457275,0.06072626,0.20634618,0.15150446,0.077825196,0.10014491,0.3058376,0.18761724,0.20553327
2020-04-15,0.08527036,0.05426897,0.060718536,0.056412403,0.21780516,0.14536884,0.07293553,0.09582617,0.32048684,0.21514454,0.21928766
2020-04-22,0.08137623,0.050668236,0.05609483,0.051298916,0.21929315,0.14338383,0.067919835,0.09127898,0.32613713,0.24430545,0.22364402
2020-04-29,0.07837515,0.04761337,0.05102617,0.048172634,0.22185965,0.15338539,0.062271886,0.08768593,0.33143875,0.27667156,0.23066874
2020-05-07,0.07388124,0.044286124,0.046604168,0.044432983,0.22128627,0.14651261,0.054129224,0.083182685,0.33708555,0.30399448,0.23264383
2020-05-14,0.06784984,0.041760277,0.044707555,0.042146046,0.23894428,0.15348755,0.04656784,0.08015604,0.33872518,0.31149155,0.23392254
2020-05-21,0.06368072,0.039166585,0.042456653,0.037836697,0.2543935,0.15722927,0.041067343,0.07528082,0.34139755,0.31738126,0.23624349
2020-05-29,0.059413623,0.03553803,0.03959431,0.035233404,0.26428443,0.16041483,0.03283635,0.07127808,0.34757033,0.328209,0.25939453
2020-06-05,0.05102868,0.032247387,0.036020443,0.032736,0.2549924,0.15667008,0.024896221,0.065475054,0.31258598,0.34166822,0.27972224
2020-06-12,0.04824423,0.030564496,0.0344568,0.03218014,0.24162596,0.14735189,0.01909502,0.0627158,0.2851895,0.3459134,0.2822091
2020-06-19,0.04857894,0.029291468,0.03465471,0.03294972,0.22400814,0.14726983,0.01915878,0.061397456,0.24869987,0.35140616,0.2766965
2020-06-26,0.048276283,0.030403148,0.038311917,0.031986814,0.20496626,0.14639428,0.020694928,0.065364495,0.21196344,0.3398775,0.2723254
2020-07-03,0.049275365,0.029678373,0.041558877,0.032312457,0.18705021,0.14436226,0.023430146,0.06920414,0.17531517,0.317218,0.26227397
2020-07-10,0.05207355,0.033443876,0.043746278,0.03235559,0.1793458,0.14844996,0.0280188,0.07108091,0.16246298,0.31765577,0.25505987
2020-07-17,0.052597005,0.034711424,0.04680304,0.031502135,0.18294074,0.15205544,0.03010702,0.07458968,0.15920548,0.29903638,0.24748392
2020-07-24,0.052671872,0.036648348,0.0532146,0.03013546,0.18067747,0.14421126,0.03552062,0.07854566,0.1512914,0.28641874,0.25569457
2020-07-31,0.052483134,0.040717658,0.05827366,0.030579096,0.1828426,0.14654136,0.0438581,0.08373158,0.14664647,0.27086768,0.24987637
2020-08-07,0.052871898,0.041553076,0.060501076,0.031421345,0.16637321,0.14460568,0.052026276,0.085783124,0.13879178,0.26615855,0.25073302
2020-08-14,0.05375857,0.04304294,0.06441298,0.031143188,0.14755736,0.14032124,0.060016546,0.09034721,0.13576223,0.26029068,0.25188324
2020-08-21,0.0548581,0.04500494,0.06743348,0.031580087,0.13666512,0.13163234,0.069314346,0.09129029,0.13068685,0.24622105,0.23039415
2020-08-28,0.05872584,0.0459606,0.072326966,0.031476937,0.13785782,0.13094121,0.0762745,0.095301114,0.12713395,0.21818514,0.2105031
2020-09-04,0.059078164,0.049328938,0.075501174,0.032408077,0.13794604,0.13715035,0.08792576,0.098544195,0.115354985,0.19439775,0.20601182
2020-09-11,0.060602386,0.052999604,0.07832924,0.033658054,0.13656007,0.13420857,0.09986421,0.09920315,0.110274665,0.1617224,0.19717747
2020-09-18,0.06306298,0.055229332,0.07881544,0.036010306,0.13659017,0.13532992,0.10808457,0.09754094,0.1075377,0.14615823,0.19130436
2020-09-25,0.06768597,0.05648712,0.07863215,0.03902361,0.13769515,0.13317254,0.115905315,0.09585102,0.11214129,0.1468694,0.19119175
2020-10-05,0.06765497,0.054582503,0.080193445,0.04186603,0.13489428,0.13690643,0.118572995,0.09807234,0.10880945,0.12165114,0.18781872
2020-10-12,0.06802462,0.055225424,0.08307108,0.04562796,0.13214785,0.13489318,0.12125622,0.102238946,0.10315753,0.13098165,0.21024086
2020-10-19,0.07336257,0.05639434,0.0819246,0.05092971,0.13134359,0.13812603,0.12168435,0.10277552,0.10365169,0.13384296,0.1986773
2020-10-26,0.07971473,0.05479937,0.08220787,0.052898567,0.12834491,0.13972326,0.120182104,0.102706745,0.10028542,0.14017913,0.19772075
2020-11-02,0.08494699,0.05635983,0.0826122,0.055954497,0.12772553,0.1354795,0.11940861,0.10734519,0.10456028,0.14238451,0.19791624
2020-11-09,0.08829049,0.05706598,0.08187113,0.060502607,0.1302761,0.14021066,0.11801597,0.10894158,0.107407995,0.14415611,0.20802017
2020-11-17,0.09124129,0.058720175,0.080181114,0.063447505,0.12917541,0.1461737,0.111582585,0.11303274,0.104628906,0.17100284,0.22779147
2020-11-24,0.09307752,0.06253373,0.07850042,0.068122916,0.12771438,0.1526994,0.1090586,0.115392275,0.11183422,0.18779108,0.22488996
2020-12-02,0.09908254,0.063899264,0.07865755,0.07077513,0.1217529,0.15634753,0.103790864,0.11880275,0.11842198,0.20675527,0.21761599
2020-12-09,0.10319225,0.06617008,0.07937345,0.07252455,0.115643546,0.1605266,0.09302604,0.12610383,0.11546809,0.2223025,0.22989161
2020-12-16,0.1075124,0.06735163,0.078869805,0.07402735,0.11422971,0.16032347,0.08628728,0.13274951,0.11519658,0.23807989,0.23172945
2020-12-23,0.108078465,0.07177124,0.07947426,0.0754978,0.10740221,0.16302146,0.079729006,0.13727663,0.11408146,0.25323102,0.22973289
2020-12-31,0.1119824,0.07389293,0.07799329,0.07684252,0.102486834,0.162137,0.07682024,0.14107329,0.11289458,0.2570518,0.22614974
