end_date,rolling_return,rolling_drawdown
2020-04-03,0.2853709363624748,0.00014562791594796565
2020-04-15,0.2573778959370982,0.03358160880728023
2020-04-22,0.2158450831633984,0.06994078282913074
2020-04-29,0.1840492567116912,0.09453457245347954
2020-05-07,0.2497716531855478,0.021273244812430314
2020-05-14,0.2186776083102403,0.03319254018251483
2020-05-21,0.1826574866324942,0.043052659845262325
2020-05-29,0.2033171907848014,0.05704255489005264
2020-06-05,0.2062226495735783,0.07584647124521648
2020-06-12,0.1012194709403235,0.08324925559843716
2020-06-19,0.0650736039776257,0.08980248075225016
2020-06-26,-0.10669437307064039,0.1317163195075228
2020-07-03,-0.12336706291673351,0.11842516050922644
2020-07-10,-0.0998644136605636,0.1265607544460583
2020-07-17,-0.031796923192648804,0.09485243799999399
2020-07-24,0.002819799530538296,0.08482950490115569
2020-07-31,-0.053909265503418,0.0682972422940627
2020-08-07,-0.0677425958922824,0.06524006030640508
2020-08-14,-0.0525247154227141,0.05139628161321669
2020-08-21,-0.04562079420574369,0.04562079420574368
2020-08-28,-0.0330533938878671,0.04493442623786489
2020-09-04,-0.011132078941359296,0.019198824223948096
2020-09-11,0.013904741423526105,0.0007152290128756914
2020-09-18,0.0785685424297527,0.0
2020-09-25,0.052985354791399514,0.017233931047563905
2020-10-05,0.04515795143024151,0.03499466604388431
2020-10-12,0.011721519618340209,0.0367227814097213
2020-10-19,0.00848826351631501,0.029933104412908203
2020-10-26,0.00962056147644531,0.012268543845684897
2020-11-02,0.03186939503046221,0.01577233605061691
2020-11-09,0.03455328149159741,0.007730688782660908
2020-11-17,0.02721566518028271,0.02215427892179551
2020-11-24,0.048522861685662305,0.0070835984537031965
2020-12-02,0.022696341982940006,0.018391587563138315
2020-12-09,0.004212746771867604,0.018391587563138294
2020-12-16,-0.02917324467572399,0.023479482572794603
2020-12-23,0.009119355073165301,0.0103462838766079
2020-12-31,0.025966421803992102,0.0112599521421015
2021-01-07,0.0053158104644805,0.0336386788474501
2021-01-14,0.0096184776258689,0.0225463346892486
2021-01-21,-0.0220881879393069,0.03658843968720111
2021-01-29,-0.018584395734374898,0.0365884396872011
2021-02-05,-0.0325551523110569,0.04251754899592711
2021-02-12,-0.0319228296231703,0.0563088164471751
2021-02-19,-0.004667365954372647,0.013982672310285143
2021-02-26,-0.057337465564335846,0.07796076102968345
2021-03-05,-0.057337465564335846,0.07796076102968345
2021-03-15,-0.054787599949083846,0.08619255252701714
2021-03-22,-0.06847724878497195,0.06847724878497194
2021-03-30,-0.10124909548136105,0.10159417941821877
2021-04-07,-0.06896737632996475,0.09169118697217105
2021-04-15,-0.11276659797515555,0.12439806445916037
2021-04-23,-0.10640125055262516,0.13207482203458248
2021-04-30,-0.11800289395528316,0.14367646543724047
2021-05-07,-0.10266767722311695,0.13120255390875893
2021-05-17,-0.10559217025384146,0.1479183143907314
2021-05-24,-0.15772467400477552,0.15772467400477555
2021-05-31,-0.09986160679024181,0.1043155751557768
2021-06-07,-0.11173804863713185,0.11619201700266683
2021-06-14,-0.11173608309838565,0.12442184296125432
2021-06-21,-0.11138048672697475,0.11138048672697473
2021-06-28,-0.06402978071097934,0.07946964125900531
2021-07-05,-0.060774008936692846,0.06339272075371111
2021-07-12,-0.022073726629266446,0.022073726629266443
2021-07-19,-0.01812414262605265,0.015928606646834854
2021-07-27,-0.02611304520239775,0.03551915262583795
2021-08-03,-0.03317568133357515,0.03317568133357514
2021-08-10,-0.01659200791965475,0.02816829977193781
2021-08-17,-0.02225420239015305,0.0436368538564802
2021-08-25,-0.02029765790862415,0.04779533087981591
2021-09-01,-0.0032796939228151127,0.04265380874089691
2021-09-08,-0.002877616133601412,0.05048155691027071
2021-09-16,-0.02552746530231971,0.06540678984214081
2021-09-23,-0.05542155367483951,0.08163568716054789
2021-09-30,-0.06729056151879942,0.0803459307841736
2021-10-07,-0.0658763054192903,0.0729382698642274
2021-10-14,-0.062149131847082005,0.04986989872363248
2021-10-22,-0.03140092589944211,0.0337443971917049
2021-10-29,-0.019066700993498508,0.019066700993498498
2021-11-08,-0.01116163283617451,0.006116237351828204
2021-11-15,0.00704357283110079,0.0067326247325739
2021-11-23,0.0031822414196282897,0.0147524331673821
2021-11-30,0.04369234800814539,0.0
2021-12-07,0.03450669131271229,0.017013404864806903
2021-12-14,0.06119574398421149,0.005249585125177793
2021-12-21,0.06641747030802529,0.016256756119771107
2021-12-28,0.06710303350903239,0.014281436542389683
2022-01-04,0.04479158154626909,0.029185227585206794
2022-01-11,0.04409668008719429,0.029880129044281598
2022-01-18,0.04083746598406879,0.0219816831787703
2022-01-25,0.06243940788787329,0.0
2022-02-02,0.02741286421752189,0.027253562581079506
2022-02-09,0.019323574522324295,0.03260620069354421
2022-02-16,0.04207402445955649,0.017875559191120202
2022-02-23,0.0418072128645002,0.0
2022-03-03,0.014801947216477299,0.0440186705128298
2022-03-10,0.002188065198857395,0.0448687327908206
2022-03-17,-0.016245758716596205,0.0743097277008675
2022-03-25,-0.0168659286460468,0.0729545780529367
2022-04-01,-0.051392597058998,0.122385037508705
2022-04-08,-0.039098218894762005,0.11078556080354379
2022-04-19,-0.021531666108873596,0.0853205621521441
2022-04-26,-0.0524900852996526,0.07999934324091221
2022-05-04,-0.042168231122851896,0.096931051645191
2022-05-11,-0.0577080684121081,0.1178235270469119
2022-05-18,-0.0788429363258867,0.12422775345826653
2022-05-25,-0.14030991778405968,0.12929270852066113
2022-06-01,-0.1215544573573081,0.1545559186067393
2022-06-08,-0.1143578208486082,0.1122217123092124
