end_date,Close,High,Low,Open,Volume,ret_1d,ma_5,ma_20,ma_diff,vol_20,momentum
2020-03-26,0.06624291,0.042449586,0.048539914,0.047232743,0.1262808,0.104552194,0.058543812,0.07225047,0.18569191,0.11477281,0.13344288
2020-04-03,0.05928583,0.037896287,0.042862363,0.04030912,0.1369693,0.10056624,0.051659122,0.066474594,0.20301011,0.124537334,0.1364297
2020-04-15,0.055243913,0.035159115,0.03933758,0.036547773,0.14110893,0.09417978,0.047252573,0.06208268,0.20763308,0.13938521,0.1420694
2020-04-22,0.052318502,0.03257568,0.036064554,0.03298116,0.14098822,0.0921845,0.0436671,0.058685187,0.20968047,0.15706915,0.14378548
2020-04-29,0.049318317,0.02996117,0.032108705,0.030313091,0.13960731,0.096519224,0.03918518,0.05517721,0.20856102,0.17409824,0.14515051
2020-05-07,0.046523564,0.0278873,0.02934699,0.027979778,0.1393456,0.09226008,0.03408557,0.05238075,0.21226525,0.19142757,0.14649753
2020-05-14,0.042412546,0.026104111,0.027946439,0.026345253,0.14936271,0.09594419,0.02910929,0.050105087,0.21173517,0.1947116,0.14622365
2020-05-21,0.03964845,0.024385627,0.026434068,0.023557622,0.15838872,0.097893,0.025569065,0.046870824,0.21255858,0.19760573,0.14708829
2020-05-29,0.03636603,0.021752201,0.02423498,0.021565747,0.16176385,0.09818709,0.020098552,0.043628056,0.21274167,0.20089096,0.15877081
2020-06-05,0.032133065,0.020306373,0.022682289,0.020614054,0.16057023,0.09865609,0.0156773,0.041230034,0.19683726,0.21515052,0.17614277
2020-06-12,0.03154153,0.019982722,0.022527466,0.021039011,0.15797232,0.096337,0.012484108,0.041002877,0.18645367,0.22615427,0.1845051
2020-06-19,0.032954726,0.01987059,0.023508878,0.022352256,0.15196146,0.09990413,0.012996832,0.04165048,0.1687117,0.23838505,0.18770391
2020-06-26,0.034224797,0.021553889,0.0271607,0.022676606,0.14530797,0.10378419,0.014671382,0.046339247,0.15026852,0.2409514,0.19306129
2020-07-03,0.037002433,0.02228643,0.031207876,0.024264447,0.14046192,0.108406186,0.017594438,0.051967576,0.13164972,0.23820904,0.19694982
2020-07-10,0.039339587,0.025265576,0.03304865,0.024443418,0.13548893,0.11214829,0.021167139,0.053698923,0.1227346,0.23997685,0.19268803
2020-07-17,0.040118773,0.026476407,0.03569938,0.024028497,0.13953947,0.11598146,0.022964362,0.05689385,0.12143521,0.22809231,0.18877028
2020-07-24,0.040360656,0.028082378,0.04077653,0.023091774,0.13844697,0.110504165,0.027218238,0.060186855,0.11592943,0.2194729,0.19593002
2020-07-31,0.04017332,0.03116741,0.044605687,0.02340683,0.13995722,0.11217037,0.03357127,0.0640925,0.11225083,0.2073362,0.19126835
2020-08-07,0.04095996,0.032191247,0.0468703,0.024342176,0.12888965,0.1120263,0.040304855,0.06645635,0.107522264,0.20619354,0.19424336
2020-08-14,0.042046964,0.033665795,0.050380252,0.02435847,0.11541116,0.10975147,0.046941604,0.07066456,0.10618567,0.2035849,0.19700906
2020-08-21,0.04441661,0.036438867,0.054598436,0.025569249,0.11065278,0.106577925,0.05612131,0.07391443,0.10581239,0.19935624,0.18654178
2020-08-28,0.048747797,0.038151484,0.060037967,0.026128724,0.11443455,0.10869313,0.06331478,0.0791086,0.10553276,0.18111354,0.17473674
2020-09-04,0.04949382,0.04132623,0.0632525,0.027150463,0.115566835,0.11490023,0.073661424,0.08255722,0.096640766,0.16286029,0.1725902
2020-09-11,0.052037086,0.04550885,0.0672585,0.028900959,0.11725921,0.115240075,0.0857498,0.08518217,0.094688885,0.1388652,0.1693092
2020-09-18,0.05456862,0.047790136,0.06819928,0.031159844,0.11819195,0.11710145,0.09352595,0.08440252,0.09305275,0.12647124,0.16553633
2020-09-25,0.057621982,0.048088253,0.06694062,0.03322133,0.11722175,0.11337159,0.098671764,0.08159927,0.095467396,0.12503192,0.16276413
2020-10-05,0.05877815,0.047420885,0.06967149,0.036372907,0.11719518,0.11894332,0.10301536,0.08520454,0.09453286,0.10568964,0.16317555
2020-10-12,0.057314523,0.04653049,0.069992006,0.03844409,0.11134191,0.113655,0.1021651,0.086141996,0.08691595,0.110359326,0.17713961
2020-10-19,0.061509002,0.047282416,0.068687625,0.042700738,0.110121734,0.1158083,0.10202319,0.086169556,0.08690415,0.11221727,0.166576
2020-10-26,0.066497505,0.045713272,0.06857727,0.044127636,0.10706448,0.11655622,0.10025512,0.08567729,0.083657436,0.116936505,0.16493735
2020-11-02,0.06993286,0.0463984,0.06801074,0.04606471,0.105150424,0.1115339,0.0983035,0.08837225,0.08607956,0.11721848,0.16293514
2020-11-09,0.0709298,0.045845013,0.06577269,0.048605893,0.10465972,0.112640835,0.094810314,0.087520234,0.08628821,0.11581048,0.16711685
2020-11-17,0.07034916,0.04527462,0.0618215,0.048919503,0.099597245,0.11270332,0.08603276,0.08715087,0.08067132,0.13184716,0.17563252
2020-11-24,0.06989824,0.04696083,0.058951307,0.05115813,0.09590942,0.11467236,0.081899524,0.08665591,0.08398392,0.1410251,0.16888517
2020-12-02,0.07307501,0.047126766,0.05801125,0.052197833,0.089794785,0.115308896,0.07654748,0.087619,0.08733817,0.15248543,0.1604954
2020-12-09,0.07454888,0.047803063,0.057341535,0.0523937,0.08354404,0.11596878,0.067204535,0.091100834,0.08341728,0.16059735,0.16607994
2020-12-16,0.07644744,0.04789085,0.056080926,0.052637666,0.08122383,0.11399912,0.061355174,0.09439247,0.08191133,0.16928837,0.16477284
2020-12-23,0.07614932,0.050568182,0.05599553,0.05319382,0.07567285,0.11486075,0.056175016,0.096721604,0.080378875,0.1784201,0.16186391
2020-12-31,0.07889837,0.052062035,0.054950986,0.0541402,0.072208166,0.11423532,0.0541245,0.09939466,0.07954106,0.18110853,0.15933616
