end_date,explanation_drift
2020-04-03,0.03765316921623133
2020-04-15,0.06366774988023552
2020-04-22,0.0869320676527488
2020-04-29,0.10906279069819014
2020-05-07,0.1331745608033551
2020-05-14,0.14762083505356147
2020-05-21,0.16300353769459353
2020-05-29,0.1830361764403597
2020-06-05,0.2053222617481418
2020-06-12,0.2175748264194062
2020-06-19,0.21994681664284055
2020-06-26,0.21477140722051224
2020-07-03,0.20725435597085204
2020-07-10,0.20112768495047637
2020-07-17,0.19018613959055095
2020-07-24,0.18366590923711096
2020-07-31,0.1703802037870235
2020-08-07,0.16737158951096487
2020-08-14,0.16468663645276505
2020-08-21,0.15533126151474091
2020-08-28,0.13999986126254457
2020-09-04,0.14113439132862482
2020-09-11,0.13828707556206704
2020-09-18,0.1389546138968071
2020-09-25,0.13534129018766552
2020-10-05,0.13985300380911866
2020-10-12,0.15078981496306584
2020-10-19,0.14624006578916512
2020-10-26,0.1484761738660743
2020-11-02,0.1444690135410668
2020-11-09,0.14254668259541722
2020-11-17,0.1489076990050229
2020-11-24,0.1440374318637997
2020-12-02,0.14255661702720088
2020-12-09,0.15314963660780687
2020-12-16,0.1592673432907347
2020-12-23,0.16848615770562084
2020-12-31,0.17382423128728575
2021-01-07,0.17330993809388004
2021-01-14,0.1742941280383439
2021-01-21,0.17095973652355917
2021-01-29,0.16461982834081487
2021-02-05,0.16933686462921455
2021-02-12,0.16851615558633948
2021-02-19,0.16790075198145035
2021-02-26,0.16584560936237505
2021-03-05,0.16165011328740123
2021-03-15,0.1582634750801024
2021-03-22,0.1589105639672945
2021-03-30,0.15116145106823597
2021-04-07,0.14663287421073748
2021-04-15,0.13795552342779768
2021-04-23,0.14032372993398107
2021-04-30,0.14656501019263027
2021-05-07,0.15140621397701473
2021-05-17,0.1466111101882037
2021-05-24,0.15442272523146663
2021-05-31,0.16040884916376544
2021-06-07,0.16080918363939442
2021-06-14,0.15996259855683798
2021-06-21,0.15725256625896952
2021-06-28,0.1648252663596565
2021-07-05,0.16740992557416529
2021-07-12,0.17130547663432732
2021-07-19,0.17167487816806964
2021-07-27,0.17619375405355897
2021-08-03,0.17535065936862962
2021-08-10,0.17858743845543296
2021-08-17,0.17555650501868494
2021-08-25,0.17577914072429382
2021-09-01,0.1747101121809039
2021-09-08,0.17614834431949095
2021-09-16,0.17818266327543397
2021-09-23,0.1757634320851213
2021-09-30,0.17972002597544662
2021-10-07,0.1838306251268829
2021-10-14,0.18461366419044054
2021-10-22,0.18830186024892168
2021-10-29,0.19181735002446584
2021-11-08,0.18781089495427905
2021-11-15,0.189510922983454
2021-11-23,0.18752462798896763
2021-11-30,0.16030224351673283
2021-12-07,0.13540028699511966
2021-12-14,0.1384575031043587
2021-12-21,0.13737700298820232
2021-12-28,0.13268858910511425
2022-01-04,0.13570866383874317
2022-01-11,0.14288663762450168
2022-01-18,0.14231258006967115
2022-01-25,0.14701516973101178
2022-02-02,0.14820065477800137
2022-02-09,0.15294359946590155
2022-02-16,0.15625864425354963
2022-02-23,0.16481132627668213
2022-03-03,0.16822623953160676
2022-03-10,0.15189621070408346
2022-03-17,0.15650158242542722
2022-03-25,0.1588655338530231
2022-04-01,0.15946280026054624
2022-04-08,0.15877984413859986
2022-04-19,0.15830062178710144
2022-04-26,0.15346260827259162
2022-05-04,0.14988418429884567
2022-05-11,0.13733492087305352
2022-05-18,0.13292025371067365
2022-05-25,0.135771147794562
2022-06-01,0.1378049273738501
2022-06-08,0.14351300950173343
2022-06-15,0.14165797799340002
2022-06-22,0.13919978403403224
2022-06-29,0.1397725480697743
2022-07-06,0.13837309480828264
2022-07-13,0.13823732977263678
2022-07-20,0.13374393398102932
2022-07-27,0.1385546416858029
2022-08-03,0.15187574058597728
2022-08-11,0.16852766850627068
2022-08-19,0.17904469969810138
2022-08-26,0.1767240913450832
2022-09-05,0.1740258603122559
2022-09-12,0.17030922308982271
2022-09-19,0.19121003059194333
2022-09-26,0.2050011290195579
2022-10-03,0.17549482261235044
2022-10-11,0.16644977119281876
2022-10-18,0.17342198994887012
2022-10-25,0.1728368525487693
2022-11-02,0.1706642092580939
2022-11-10,0.1679646392514227
2022-11-17,0.16908672519456858
2022-11-24,0.16675351700322713
2022-12-01,0.16925850059627584
2022-12-08,0.16738383938349136
2022-12-15,0.16836359093723496
2022-12-22,0.1656207996805756
2022-12-29,0.16836924896959266
2023-01-05,0.17268615998804393
2023-01-12,0.1666591371101372
2023-01-19,0.16222842435517842
2023-01-27,0.15938595456828922
2023-02-03,0.1538028918059239
2023-02-10,0.15465660194719724
2023-02-17,0.15842795457181874
2023-02-24,0.16306844549429106
2023-03-03,0.15288088783358764
2023-03-13,0.15106875893965138
2023-03-20,0.13995691655414838
2023-03-27,0.14476735878159608
2023-04-05,0.14220836198540432
2023-04-13,0.13766149672913372
2023-04-21,0.14098705265078967
2023-04-28,0.14325473288083362
2023-05-08,0.14982126824186406
2023-05-15,0.1540251572418935
2023-05-22,0.15239631425983932
2023-05-29,0.15089062153189056
2023-06-05,0.1601412748712326
2023-06-12,0.15622156244531515
2023-06-19,0.17723225282735255
2023-06-26,0.18456837504697868
2023-07-04,0.1831141841641283
2023-07-11,0.18304714312414866
2023-07-18,0.18259286298189786
2023-07-25,0.18306311484305596
2023-08-01,0.1793511328336228
2023-08-08,0.17860704379345702
2023-08-16,0.174100689414398
2023-08-23,0.17472267037534067
2023-08-30,0.17222844666201634
2023-09-06,0.16801693111569965
2023-09-13,0.1676477404937968
2023-09-21,0.171091485297161
2023-09-28,0.174800075983547
